spatial_resolution [arcsec],integration_time [s],velocity_resolution [Km/s],J2000 coordinates,frequency_resolution [MHz]
8.144376138383596,1451.52,2.1710418908236124,J2000 00h04m55.44s -33d08m12.8s,1.1280000000000001
11.67659207363896,120.96,2.994944608291466,J2000 10h37m42.63999999s -28d36m14.60000005s,1.1280000000000001
11.67659207363896,120.96,2.994944608291466,J2000 10h37m42.63999999s -28d36m14.60000005s,1.1280000000000001
11.67659207363896,120.96,2.994944608291466,J2000 10h37m42.63999999s -28d36m14.60000005s,1.1280000000000001
11.67659207363896,120.96,2.994944608291466,J2000 10h37m42.63999999s -28d36m14.60000005s,1.1280000000000001
8.144376138383596,1451.52,2.1710418908236124,J2000 00h04m55.44s -33d08m12.8s,1.1280000000000001
8.144376138383596,1451.52,2.1710418908236124,J2000 00h04m55.44s -33d08m12.8s,1.1280000000000001
8.144376138383596,1451.52,2.1710418908236124,J2000 00h04m55.44s -33d08m12.8s,1.1280000000000001
11.6159823403829,120.96,2.994944608291466,J2000 10h34m06.66999999s -28d02m30.40000004s,1.1280000000000001
11.680042791073475,120.96,2.994944608291466,J2000 10h38m55.12419999s -26d38m23.95600005s,1.1280000000000001
11.680042791073475,120.96,2.994944608291466,J2000 10h38m55.12419999s -26d38m23.95600005s,1.1280000000000001
11.6159823403829,120.96,2.994944608291466,J2000 10h34m06.66999999s -28d02m30.40000004s,1.1280000000000001
11.6159823403829,120.96,2.994944608291466,J2000 10h34m06.66999999s -28d02m30.40000004s,1.1280000000000001
11.680042791073475,120.96,2.994944608291466,J2000 10h38m55.12419999s -26d38m23.95600005s,1.1280000000000001
11.680042791073475,120.96,2.994944608291466,J2000 10h38m55.12419999s -26d38m23.95600005s,1.1280000000000001
11.620424988012998,120.96,2.994944608291466,J2000 10h35m20.60499999s -28d07m20.60400003s,1.1280000000000001
11.620424988012998,120.96,2.994944608291466,J2000 10h35m20.60499999s -28d07m20.60400003s,1.1280000000000001
11.6159823403829,120.96,2.994944608291466,J2000 10h34m06.66999999s -28d02m30.40000004s,1.1280000000000001
1.1374749511062352,2999.808,8.370050527094413,J2000 08h51m04.26719999s +02d44m31.84440001s,3.904
1.1374749511062352,2999.808,8.370050527094413,J2000 08h51m04.26719999s +02d44m31.84440001s,3.904
1.1374749511062352,2999.808,8.370050527094413,J2000 08h51m04.26719999s +02d44m31.84440001s,3.904
11.620424988012998,120.96,2.994944608291466,J2000 10h35m20.60499999s -28d07m20.60400003s,1.1280000000000001
11.620424988012998,120.96,2.994944608291466,J2000 10h35m20.60499999s -28d07m20.60400003s,1.1280000000000001
11.685040621251629,120.96,2.994944608291466,J2000 10h39m24.8862692s -27d54m44.57851969s,1.1280000000000001
11.685040621251629,120.96,2.994944608291466,J2000 10h39m24.8862692s -27d54m44.57851969s,1.1280000000000001
11.685040621251629,120.96,2.994944608291466,J2000 10h39m24.8862692s -27d54m44.57851969s,1.1280000000000001
11.685040621251629,120.96,2.994944608291466,J2000 10h39m24.8862692s -27d54m44.57851969s,1.1280000000000001
11.689737371377484,155.475,2.994944608291466,J2000 10h33m35.67898652s -27d27m15.52543397s,1.1280000000000001
11.689737371377484,155.475,2.994944608291466,J2000 10h33m35.67898652s -27d27m15.52543397s,1.1280000000000001
11.74212757997102,222.357,2.994944608291466,J2000 10h37m29.68283186s -26d18m59.12550082s,1.1280000000000001
11.74212757997102,222.357,2.994944608291466,J2000 10h37m29.68283186s -26d18m59.12550082s,1.1280000000000001
11.74212757997102,222.357,2.994944608291466,J2000 10h37m29.68283186s -26d18m59.12550082s,1.1280000000000001
11.74212757997102,222.357,2.994944608291466,J2000 10h37m29.68283186s -26d18m59.12550082s,1.1280000000000001
11.677239960666252,120.96,2.994944608291466,J2000 10h36m21.45999999s -26d46m22.90000005s,1.1280000000000001
11.677239960666252,120.96,2.994944608291466,J2000 10h36m21.45999999s -26d46m22.90000005s,1.1280000000000001
11.677239960666252,120.96,2.994944608291466,J2000 10h36m21.45999999s -26d46m22.90000005s,1.1280000000000001
11.677239960666252,120.96,2.994944608291466,J2000 10h36m21.45999999s -26d46m22.90000005s,1.1280000000000001
11.689737371377484,155.475,2.994944608291466,J2000 10h33m35.67898652s -27d27m15.52543397s,1.1280000000000001
11.689737371377484,155.475,2.994944608291466,J2000 10h33m35.67898652s -27d27m15.52543397s,1.1280000000000001
11.650074422688268,120.96,2.994944608291466,J2000 10h35m23.24999999s -28d18m50.60000005s,1.1280000000000001
11.650074422688268,120.96,2.994944608291466,J2000 10h35m23.24999999s -28d18m50.60000005s,1.1280000000000001
11.650074422688268,120.96,2.994944608291466,J2000 10h35m23.24999999s -28d18m50.60000005s,1.1280000000000001
11.679632615861424,120.96,2.994944608291466,J2000 10h39m18.31621507s -26d50m22.57117208s,1.1280000000000001
11.679632615861424,120.96,2.994944608291466,J2000 10h39m18.31621507s -26d50m22.57117208s,1.1280000000000001
11.679632615861424,120.96,2.994944608291466,J2000 10h39m18.31621507s -26d50m22.57117208s,1.1280000000000001
11.650074422688268,120.96,2.994944608291466,J2000 10h35m23.24999999s -28d18m50.60000005s,1.1280000000000001
11.679632615861424,120.96,2.994944608291466,J2000 10h39m18.31621507s -26d50m22.57117208s,1.1280000000000001
11.6670226725522,120.96,2.994944608291466,J2000 10h35m38.30729999s -27d31m34.74200005s,1.1280000000000001
11.6670226725522,120.96,2.994944608291466,J2000 10h35m38.30729999s -27d31m34.74200005s,1.1280000000000001
