spatial_resolution [arcsec],integration_time [s],velocity_resolution [Km/s],ra [deg],dec [deg],bandwidth [MHz],frequency [GHz],pads,frequency_resolution [MHz],coords [J2000]
0.628071623239747,1119.496,4.428892896773623,140.94632083330904,4.048494433720318,1875.0,265.204971018207,"['A001', 'A002', 'A003', 'A006', 'A008', 'A010', 'A015', 'A016', 'A017', 'A019', 'A022', 'A023', 'A024', 'A025', 'A026', 'A027', 'A028', 'A033', 'A034', 'A036', 'A039', 'A040', 'A041', 'A044', 'A046', 'A047', 'A048', 'A049', 'A050', 'A058', 'A060', 'A062', 'A066', 'A068', 'A069', 'A070', 'A072', 'A073', 'A074', 'A076', 'A082', 'A083', 'A085', 'A088', 'T701', 'T702', 'T703', 'T704']",3.904,J2000 09h23m47.11699999s +04d02m54.57996139s
1.687284042781407,3024.0,0.4374028521377036,274.37477916665017,-4.660986111111745,58.59375,85.92454221918257,"['A001', 'A002', 'A003', 'A006', 'A010', 'A015', 'A016', 'A017', 'A019', 'A022', 'A023', 'A024', 'A025', 'A026', 'A027', 'A028', 'A033', 'A034', 'A036', 'A039', 'A040', 'A041', 'A044', 'A046', 'A047', 'A048', 'A049', 'A050', 'A058', 'A060', 'A062', 'A066', 'A068', 'A069', 'A070', 'A072', 'A073', 'A074', 'A076', 'A082', 'A083', 'A085', 'A088', 'T701', 'T702', 'T703', 'T704']",0.14100000000000001,J2000 18h17m29.947s -04d39m39.55s
0.7451784592771103,4052.16,0.19579876682353578,52.30645833334253,31.23280833333431,58.59375,93.17856773675187,"['A001', 'A007', 'A008', 'A011', 'A015', 'A016', 'A022', 'A023', 'A024', 'A033', 'A035', 'A042', 'A043', 'A044', 'A045', 'A047', 'A049', 'A058', 'A060', 'A062', 'A066', 'A068', 'A069', 'A070', 'A072', 'A073', 'A074', 'A075', 'A076', 'A082', 'A083', 'A085', 'A086', 'A087', 'A089', 'A090', 'A091', 'A092', 'A093', 'A094', 'A096', 'A101', 'A104', 'A105', 'A108', 'A111', 'A134', 'A135']",0.07,J2000 03h29m13.55s +31d13m58.11s
0.7451784592771103,4052.16,0.19579876682353578,52.30645833334253,31.23280833333431,58.59375,94.40474415203968,"['A001', 'A007', 'A008', 'A011', 'A015', 'A016', 'A022', 'A023', 'A024', 'A033', 'A035', 'A042', 'A043', 'A044', 'A045', 'A047', 'A049', 'A058', 'A060', 'A062', 'A066', 'A068', 'A069', 'A070', 'A072', 'A073', 'A074', 'A075', 'A076', 'A082', 'A083', 'A085', 'A086', 'A087', 'A089', 'A090', 'A091', 'A092', 'A093', 'A094', 'A096', 'A101', 'A104', 'A105', 'A108', 'A111', 'A134', 'A135']",0.07,J2000 03h29m13.55s +31d13m58.11s
0.7451784592771103,4052.16,0.19579876682353578,52.30645833334253,31.23280833333431,1875.0,95.00961546314994,"['A001', 'A007', 'A008', 'A011', 'A015', 'A016', 'A022', 'A023', 'A024', 'A033', 'A035', 'A042', 'A043', 'A044', 'A045', 'A047', 'A049', 'A058', 'A060', 'A062', 'A066', 'A068', 'A069', 'A070', 'A072', 'A073', 'A074', 'A075', 'A076', 'A082', 'A083', 'A085', 'A086', 'A087', 'A089', 'A090', 'A091', 'A092', 'A093', 'A094', 'A096', 'A101', 'A104', 'A105', 'A108', 'A111', 'A134', 'A135']",0.07,J2000 03h29m13.55s +31d13m58.11s
0.7451784592771103,4052.16,0.19579876682353578,52.30645833334253,31.23280833333431,58.59375,107.01112962888013,"['A001', 'A007', 'A008', 'A011', 'A015', 'A016', 'A022', 'A023', 'A024', 'A033', 'A035', 'A042', 'A043', 'A044', 'A045', 'A047', 'A049', 'A058', 'A060', 'A062', 'A066', 'A068', 'A069', 'A070', 'A072', 'A073', 'A074', 'A075', 'A076', 'A082', 'A083', 'A085', 'A086', 'A087', 'A089', 'A090', 'A091', 'A092', 'A093', 'A094', 'A096', 'A101', 'A104', 'A105', 'A108', 'A111', 'A134', 'A135']",0.07,J2000 03h29m13.55s +31d13m58.11s
0.7451784592771103,4052.16,0.19579876682353578,52.30645833334253,31.23280833333431,58.59375,108.06124861739688,"['A001', 'A007', 'A008', 'A011', 'A015', 'A016', 'A022', 'A023', 'A024', 'A033', 'A035', 'A042', 'A043', 'A044', 'A045', 'A047', 'A049', 'A058', 'A060', 'A062', 'A066', 'A068', 'A069', 'A070', 'A072', 'A073', 'A074', 'A075', 'A076', 'A082', 'A083', 'A085', 'A086', 'A087', 'A089', 'A090', 'A091', 'A092', 'A093', 'A094', 'A096', 'A101', 'A104', 'A105', 'A108', 'A111', 'A134', 'A135']",0.07,J2000 03h29m13.55s +31d13m58.11s
0.7451784592771103,4052.16,0.19579876682353578,52.30645833334253,31.23280833333431,58.59375,104.23666944579516,"['A001', 'A007', 'A008', 'A011', 'A015', 'A016', 'A022', 'A023', 'A024', 'A033', 'A035', 'A042', 'A043', 'A044', 'A045', 'A047', 'A049', 'A058', 'A060', 'A062', 'A066', 'A068', 'A069', 'A070', 'A072', 'A073', 'A074', 'A075', 'A076', 'A082', 'A083', 'A085', 'A086', 'A087', 'A089', 'A090', 'A091', 'A092', 'A093', 'A094', 'A096', 'A101', 'A104', 'A105', 'A108', 'A111', 'A134', 'A135']",0.07,J2000 03h29m13.55s +31d13m58.11s
0.7451784592771103,4052.16,0.19579876682353578,52.30645833334253,31.23280833333431,58.59375,105.79643641298998,"['A001', 'A007', 'A008', 'A011', 'A015', 'A016', 'A022', 'A023', 'A024', 'A033', 'A035', 'A042', 'A043', 'A044', 'A045', 'A047', 'A049', 'A058', 'A060', 'A062', 'A066', 'A068', 'A069', 'A070', 'A072', 'A073', 'A074', 'A075', 'A076', 'A082', 'A083', 'A085', 'A086', 'A087', 'A089', 'A090', 'A091', 'A092', 'A093', 'A094', 'A096', 'A101', 'A104', 'A105', 'A108', 'A111', 'A134', 'A135']",0.07,J2000 03h29m13.55s +31d13m58.11s
0.5800467012194895,5201.28,0.1658261698108707,275.10935416666666,-16.20268805555555,234.375,220.36398535164247,"['A003', 'A011', 'A021', 'A025', 'A026', 'A045', 'A046', 'A053', 'A068', 'A069', 'A071', 'A072', 'A074', 'A075', 'A076', 'A077', 'A082', 'A137', 'A138']",0.122,J2000 18h20m26.245s -16d12m09.677s
