    um                erg/s/Hz
    2.810606e-05      7.059289e-46
    2.826181e-05      7.348212e-46
    2.841842e-05      7.648976e-46
    2.857591e-05      7.962116e-46
    2.873426e-05      8.288180e-46
    2.889349e-05      8.627615e-46
    2.905360e-05      8.980968e-46
    2.921460e-05      9.348810e-46
    2.937650e-05      9.731850e-46
    2.953929e-05      1.013064e-45
    2.970298e-05      1.054578e-45
    2.986758e-05      1.097795e-45
    3.003309e-05      1.142789e-45
    3.019952e-05      1.189641e-45
    3.036687e-05      1.238416e-45
    3.053515e-05      1.289193e-45
    3.070436e-05      1.342053e-45
    3.087450e-05      1.397093e-45
    3.104560e-05      1.454399e-45
    3.121764e-05      1.514058e-45
    3.139063e-05      1.576165e-45
    3.156458e-05      1.640823e-45
    3.173949e-05      1.708154e-45
    3.191538e-05      1.778249e-45
    3.209224e-05      1.851223e-45
    3.227008e-05      1.927193e-45
    3.244890e-05      2.006292e-45
    3.262872e-05      2.088650e-45
    3.280953e-05      2.174392e-45
    3.299134e-05      2.263655e-45
    3.317416e-05      2.356584e-45
    3.335800e-05      2.453350e-45
    3.354285e-05      2.554095e-45
    3.372873e-05      2.658978e-45
    3.391564e-05      2.768171e-45
    3.410358e-05      2.881856e-45
    3.429257e-05      3.000230e-45
    3.448260e-05      3.123468e-45
    3.467369e-05      3.251770e-45
    3.486583e-05      3.385345e-45
    3.505904e-05      3.524427e-45
    3.525332e-05      3.669233e-45
    3.544867e-05      3.819990e-45
    3.564511e-05      3.976944e-45
    3.584264e-05      4.140353e-45
    3.604126e-05      4.310503e-45
    3.624099e-05      4.487647e-45
    3.644182e-05      4.672074e-45
    3.664376e-05      4.864082e-45
    3.684682e-05      5.064000e-45
    3.705101e-05      5.272151e-45
    3.725632e-05      5.488860e-45
    3.746278e-05      5.714479e-45
    3.767038e-05      5.949375e-45
    3.787913e-05      6.193960e-45
    3.808904e-05      6.448605e-45
    3.830011e-05      6.713720e-45
    3.851235e-05      6.989738e-45
    3.872576e-05      7.277118e-45
    3.894036e-05      7.576340e-45
    3.915615e-05      7.887867e-45
    3.937314e-05      8.212206e-45
    3.959132e-05      8.549884e-45
    3.981072e-05      8.901481e-45
    4.003133e-05      9.267547e-45
    4.025316e-05      9.648670e-45
    4.047622e-05      1.004547e-44
    4.070052e-05      1.045860e-44
    4.092607e-05      1.088875e-44
    4.115286e-05      1.133660e-44
    4.138091e-05      1.180287e-44
    4.161022e-05      1.228832e-44
    4.184080e-05      1.279377e-44
    4.207266e-05      1.332003e-44
    4.230581e-05      1.386794e-44
    4.254025e-05      1.443839e-44
    4.277598e-05      1.503231e-44
    4.301303e-05      1.565071e-44
    4.325138e-05      1.629456e-44
    4.349106e-05      1.696489e-44
    4.373207e-05      1.766280e-44
    4.397441e-05      1.838945e-44
    4.421809e-05      1.914603e-44
    4.446313e-05      1.993374e-44
    4.470952e-05      2.075385e-44
    4.495728e-05      2.160772e-44
    4.520641e-05      2.249676e-44
    4.545692e-05      2.342240e-44
    4.570882e-05      2.438613e-44
    4.596211e-05      2.538951e-44
    4.621681e-05      2.643419e-44
    4.647292e-05      2.752191e-44
    4.673045e-05      2.865439e-44
    4.698941e-05      2.983348e-44
    4.724980e-05      3.106108e-44
    4.751164e-05      3.233925e-44
    4.777492e-05      3.367004e-44
    4.803967e-05      3.505559e-44
    4.830588e-05      3.649817e-44
    4.857357e-05      3.800012e-44
    4.884274e-05      3.956395e-44
    4.911340e-05      4.119214e-44
    4.938556e-05      4.288733e-44
    4.965923e-05      4.465229e-44
    4.993442e-05      4.648994e-44
    5.021113e-05      4.840325e-44
    5.048938e-05      5.039530e-44
    5.076916e-05      5.246935e-44
    5.105050e-05      5.462875e-44
    5.133340e-05      5.687712e-44
    5.161786e-05      5.921803e-44
    5.190390e-05      6.165528e-44
    5.219153e-05      6.419285e-44
    5.248075e-05      6.683490e-44
    5.277157e-05      6.958576e-44
    5.306400e-05      7.244984e-44
    5.335806e-05      7.543180e-44
    5.365374e-05      7.853650e-44
    5.395106e-05      8.176908e-44
    5.425003e-05      8.513474e-44
    5.455066e-05      8.863892e-44
    5.485295e-05      9.228735e-44
    5.515692e-05      9.608598e-44
    5.546257e-05      1.000410e-43
    5.576992e-05      1.041589e-43
    5.607897e-05      1.084463e-43
    5.638973e-05      1.129102e-43
    5.670221e-05      1.175578e-43
    5.701643e-05      1.223969e-43
    5.733238e-05      1.274351e-43
    5.765009e-05      1.326807e-43
    5.796956e-05      1.381423e-43
    5.829080e-05      1.438288e-43
    5.861382e-05      1.497494e-43
    5.893863e-05      1.559137e-43
    5.926523e-05      1.623317e-43
    5.959365e-05      1.690140e-43
    5.992389e-05      1.759715e-43
    6.025596e-05      1.832154e-43
    6.058987e-05      1.907575e-43
    6.092563e-05      1.986100e-43
    6.126325e-05      2.067860e-43
    6.160274e-05      2.152985e-43
    6.194411e-05      2.241615e-43
    6.228737e-05      2.333893e-43
    6.263254e-05      2.429970e-43
    6.297961e-05      2.530004e-43
    6.332862e-05      2.634156e-43
    6.367955e-05      2.742595e-43
    6.403243e-05      2.855499e-43
    6.438727e-05      2.973052e-43
    6.474407e-05      3.095444e-43
    6.510285e-05      3.222876e-43
    6.546362e-05      3.355553e-43
    6.582638e-05      3.493693e-43
    6.619116e-05      3.637521e-43
    6.655796e-05      3.787270e-43
    6.692679e-05      3.943184e-43
    6.729767e-05      4.105517e-43
    6.767060e-05      4.274534e-43
    6.804559e-05      4.450511e-43
    6.842267e-05      4.633731e-43
    6.880183e-05      4.824495e-43
    6.918310e-05      5.023112e-43
    6.956648e-05      5.229909e-43
    6.995198e-05      5.445218e-43
    7.033962e-05      5.669392e-43
    7.072940e-05      5.902796e-43
    7.112135e-05      6.145809e-43
    7.151547e-05      6.398828e-43
    7.191177e-05      6.662263e-43
    7.231027e-05      6.936544e-43
    7.271098e-05      7.222118e-43
    7.311391e-05      7.519450e-43
    7.351907e-05      7.829024e-43
    7.392648e-05      8.151343e-43
    7.433614e-05      8.486931e-43
    7.474807e-05      8.836337e-43
    7.516229e-05      9.200129e-43
    7.557880e-05      9.578899e-43
    7.599762e-05      9.973263e-43
    7.641876e-05      1.038386e-42
    7.684224e-05      1.081137e-42
    7.726806e-05      1.125648e-42
    7.769624e-05      1.171991e-42
    7.812679e-05      1.220242e-42
    7.855973e-05      1.270480e-42
    7.899507e-05      1.322787e-42
    7.943282e-05      1.377246e-42
    7.987300e-05      1.433949e-42
    8.031562e-05      1.492985e-42
    8.076069e-05      1.554452e-42
    8.120822e-05      1.618451e-42
    8.165824e-05      1.685084e-42
    8.211075e-05      1.754460e-42
    8.256576e-05      1.826693e-42
    8.302330e-05      1.901899e-42
    8.348338e-05      1.980203e-42
    8.394600e-05      2.061730e-42
    8.441119e-05      2.146613e-42
    8.487895e-05      2.234992e-42
    8.534931e-05      2.327009e-42
    8.582227e-05      2.422815e-42
    8.629785e-05      2.522566e-42
    8.677607e-05      2.626423e-42
    8.725694e-05      2.734557e-42
    8.774048e-05      2.847143e-42
    8.822669e-05      2.964364e-42
    8.871560e-05      3.086411e-42
    8.920722e-05      3.213483e-42
    8.970156e-05      3.345788e-42
    9.019864e-05      3.483540e-42
    9.069848e-05      3.626963e-42
    9.120108e-05      3.776291e-42
    9.170647e-05      3.931768e-42
    9.221467e-05      4.093647e-42
    9.272567e-05      4.262190e-42
    9.323951e-05      4.437672e-42
    9.375620e-05      4.620380e-42
    9.427575e-05      4.810610e-42
    9.479818e-05      5.008673e-42
    9.532350e-05      5.214891e-42
    9.585174e-05      5.429599e-42
    9.638290e-05      5.653147e-42
    9.691701e-05      5.885900e-42
    9.745407e-05      6.128236e-42
    9.799412e-05      6.380550e-42
    9.853715e-05      6.643251e-42
    9.908319e-05      6.916770e-42
    9.963226e-05      7.201551e-42
    1.001844e-04      7.498056e-42
    1.007395e-04      7.806770e-42
    1.012978e-04      8.128194e-42
    1.018591e-04      8.462853e-42
    1.024236e-04      8.811291e-42
    1.029912e-04      9.174075e-42
    1.035619e-04      9.551796e-42
    1.041358e-04      9.945069e-42
    1.047129e-04      1.035454e-41
    1.052931e-04      1.078086e-41
    1.058766e-04      1.122474e-41
    1.064633e-04      1.168689e-41
    1.070533e-04      1.216808e-41
    1.076465e-04      1.266907e-41
    1.082430e-04      1.319069e-41
    1.088429e-04      1.373379e-41
    1.094460e-04      1.429925e-41
    1.100525e-04      1.488800e-41
    1.106624e-04      1.550098e-41
    1.112756e-04      1.613920e-41
    1.118922e-04      1.680370e-41
    1.125123e-04      1.749557e-41
    1.131358e-04      1.821591e-41
    1.137627e-04      1.896592e-41
    1.143931e-04      1.974681e-41
    1.150271e-04      2.055985e-41
    1.156645e-04      2.140636e-41
    1.163054e-04      2.228773e-41
