Line,freq(GHz),N,Intensity,Error,c,err_c
H2O+ 631,631.7241,5,6.7,8.4,-6.038044894552689,0.5444886041772113
H22α,577.8964,10,-0.8,5.5,,2.985774563084856
H2O+ 634,634.2729,5,3.9,8.6,-6.267808958027449,0.9576750113764015
H23α,507.1755,11,-6.1,5.4,,0.3844574102094361
H2O+ 721,721.9274,2,7.3,9.2,-5.82689859724376,0.5473300319876598
H24α,447.5403,10,0.8,2.8,-7.410115600360517,1.5200306866613815
H2O+ 742,742.109,2,29.3,8.9,-5.187431317258224,0.13191880167027106
H25α,396.9008,7,-3.8,3.5,,0.4000080754372057
H2O+ 746,746.5417,2,21.8,8.2,-5.308083325607802,0.16335847484434243
H26α,353.6227,6,-1.0,3.2,,1.389742342090406
H27α,316.4154,4,-1.4,3.8,,1.178799308023112
H28α,284.2506,3,-3.0,7.7,,1.1146891702183466
LiH(1–0),443.9529,9,0.6,2.9,-7.545540091210499,2.099089995865717
CH 532,532.7239,10,12.6,4.9,-5.9858249442818785,0.16889229851793128
