science_keyword,band_list
"Galactic centres/nuclei, Active Galactic Nuclei (AGN)/Quasars (QSO)",6
"Pre-stellar cores, Infra-Red Dark Clouds (IRDC), High-mass star formation",6
"Outflows, jets and ionized winds, Astrochemistry",9
"Luminous Blue Variables (LBV), Evolved stars: Shaping/physical structure",3
"Active Galactic Nuclei (AGN)/Quasars (QSO), Spiral galaxies",9
"Starburst galaxies, Galaxy structure & evolution",9
"Lyman Alpha Emitters/Blobs (LAE/LAB), Galaxy structure & evolution",7
"Merging and interacting galaxies, Early-type galaxies",3
"Evolved stars - Shaping/physical structure, Evolved stars - Chemistry",9
"Disks around low-mass stars, Astrochemistry",6
Galaxy structure & evolution,5
"Astrochemistry, Inter-Stellar Medium (ISM)/Molecular clouds",1
"Starburst galaxies, Sub-mm Galaxies (SMG)",1
Black holes,1
"Active Galactic Nuclei (AGN)/Quasars (QSO), Outflows, jets, feedback",1
"High-z Active Galactic Nuclei (AGN), Galaxy structure & evolution",6
"Active Galactic Nuclei (AGN)/Quasars (QSO), Outflows, jets, feedback",3
"Starburst galaxies, Gravitational lenses",6
"Starburst galaxies, Galaxy structure & evolution",4
Main sequence stars,7
"Active Galactic Nuclei (AGN)/Quasars (QSO), Galactic centres/nuclei",7
"Inter-Stellar Medium (ISM)/Molecular clouds, Photon-Dominated Regions (PDR)/X-Ray Dominated Regions (XDR)",3
Active Galactic Nuclei (AGN)/Quasars (QSO),4
"Sub-mm Galaxies (SMG), Gravitational lenses",3
"Sub-mm Galaxies (SMG), Gravitational lenses",6
"Lyman Alpha Emitters/Blobs (LAE/LAB), Starburst galaxies",8
"Evolved stars - Shaping/physical structure, Cataclysmic stars",6
"Evolved stars - Shaping/physical structure, Cataclysmic stars",4
"Outflows, jets and ionized winds, Low-mass star formation",6
"Sub-mm Galaxies (SMG), Gravitational lenses",8
"Sub-mm Galaxies (SMG), High-z Active Galactic Nuclei (AGN)",8
"Lyman Break Galaxies (LBG), Sub-mm Galaxies (SMG)",7
"Astrochemistry, Photon-Dominated Regions (PDR)/X-Ray Dominated Regions (XDR)",3
Lyman Alpha Emitters/Blobs (LAE/LAB),3
Sub-mm Galaxies (SMG),8
"High-mass star formation, Astrochemistry",4
Evolved stars - Chemistry,7
Galactic centres/nuclei,4
"Early-type galaxies, Galaxy groups and clusters",6
"Pulsars and neutron stars, Transients",3
Debris disks,3
"Debris disks, Exo-planets",7
"Outflows, jets and ionized winds, High-mass star formation",3
"Merging and interacting galaxies, Outflows, jets, feedback",6
Solar system - Planetary atmospheres,3
Galactic centres/nuclei,7
Surveys of galaxies,8
"Starburst galaxies, High-z Active Galactic Nuclei (AGN)",5
"Outflows, jets and ionized winds, Inter-Stellar Medium (ISM)/Molecular clouds",3
"Low-mass star formation, Astrochemistry",5
Gamma Ray Bursts (GRB),9
Gamma Ray Bursts (GRB),8
"High-mass star formation, Magellanic Clouds",3
"Outflows, jets, feedback, Galaxy groups and clusters",7
"Astrochemistry, Inter-Stellar Medium (ISM)/Molecular clouds",8
"High-z Active Galactic Nuclei (AGN), Galaxy structure & evolution",3
"High-mass star formation, Pre-stellar cores, Infra-Red Dark Clouds (IRDC)",7
"High-mass star formation, Astrochemistry",6
Damped Lyman Alpha (DLA) systems,6
HII regions,6
"Galaxy chemistry, Giant Molecular Clouds (GMC) properties",4
"Active Galactic Nuclei (AGN)/Quasars (QSO), Galaxy chemistry",6
"Active Galactic Nuclei (AGN)/Quasars (QSO), Luminous and Ultra-Luminous Infra-Red Galaxies (LIRG & ULIRG)",5
"Spiral galaxies, Galaxy groups and clusters",6
Debris disks,8
Evolved stars - Shaping/physical structure,6
"Outflows, jets and ionized winds, High-mass star formation",4
"Evolved stars - Shaping/physical structure, Luminous Blue Variables (LBV)",6
"Active Galactic Nuclei (AGN)/Quasars (QSO), Galaxy chemistry",3
"High-mass star formation, Pre-stellar cores, Infra-Red Dark Clouds (IRDC)",3
"Starbursts, star formation, Giant Molecular Clouds (GMC) properties",6
"Dwarf/metal-poor galaxies, Giant Molecular Clouds (GMC) properties",7
"Solar system - Planetary surfaces, Solar system - Trans-Neptunian Objects (TNOs)",6
"Debris disks, Disks around high-mass stars",3
"Debris disks, Disks around high-mass stars",5
Sub-mm Galaxies (SMG),4
"Starbursts, star formation, Outflows, jets, feedback",7
"Surveys of galaxies, Galactic centres/nuclei",7
"Post-AGB stars, Evolved stars - Shaping/physical structure",9
"Merging and interacting galaxies, Galaxy chemistry",3
Dwarf/metal-poor galaxies,8
Disks around high-mass stars,8
Evolved stars - Chemistry,5
"High-mass star formation, Astrochemistry",5
Solar system - Planetary atmospheres,9
"Low-mass star formation, Astrochemistry",10
Supernovae (SN) ejecta,8
"Starbursts, star formation, Spiral galaxies",8
High-mass star formation,4
"High-mass star formation, HII regions",8
Dwarf/metal-poor galaxies,3
Transients,7
Galactic centres/nuclei,8
"Lyman Alpha Emitters/Blobs (LAE/LAB), Sub-mm Galaxies (SMG)",7
"Lyman Break Galaxies (LBG), Galaxy structure & evolution",6
Evolved stars - Shaping/physical structure,3
Early-type galaxies,5
"Outflows, jets and ionized winds, Magellanic Clouds",7
"Inter-Stellar Medium (ISM)/Molecular clouds, HII regions",7
"Outflows, jets and ionized winds, High-mass star formation",5
"Galactic centres/nuclei, Giant Molecular Clouds (GMC) properties",7
Solar system - Asteroids,7
"Intermediate-mass star formation, Inter-Stellar Medium (ISM)/Molecular clouds",7
"Cataclysmic stars, Supernovae (SN) ejecta",7
High-z Active Galactic Nuclei (AGN),5
"Spiral galaxies, Merging and interacting galaxies",7
"Starbursts, star formation, Early-type galaxies",4
"Debris disks, Disks around high-mass stars",8
"Lyman Alpha Emitters/Blobs (LAE/LAB), Lyman Break Galaxies (LBG)",9
"Active Galactic Nuclei (AGN)/Quasars (QSO), Early-type galaxies",8
"High-mass star formation, Magellanic Clouds",7
"Outflows, jets, feedback, Galaxy chemistry",6
"Outflows, jets, feedback, Galaxy chemistry",5
