ALMA_source_name,Band,PWV,SB_name,Vel.res.,Ang.res.,RA,Dec,FOV,Int.Time,Cont_sens_mJybeam,Line_sens_10kms_mJybeam,Obs.date,Bandwidth,Freq,Freq.sup.,antenna_arrays,proposal_id,member_ous_uid,group_ous_uid
J0842+1218,6,2.146373,J0842+12_a_06_TE,2162.3907407039,1.0125727183224749,130.62179166666667,12.31338888888889,0.0062010332459044686,453.6,0.04543139969733463,1.2981664742347314,2017-03-14,1875000000.0,269.6956997518065,"[251.05..252.92GHz,1938.48kHz,1.4mJy/beam@10km/s,94.9uJy/beam@native, XX YY] U [252.93..254.80GHz,1938.48kHz,1.3mJy/beam@10km/s,89.1uJy/beam@native, XX YY] U [267.07..268.94GHz,1938.48kHz,1.3mJy/beam@10km/s,89.8uJy/beam@native, XX YY] U [268.76..270.63GHz,1938.48kHz,1.3mJy/beam@10km/s,89.9uJy/beam@native, XX YY]",A001:DA59 A002:DA49 A003:DV23 A004:DA41 A005:DA54 A006:DA61 A008:DV08 A009:DV18 A010:DV25 A011:DV09 A013:DA48 A014:DV22 A015:DV04 A017:DV12 A018:DA52 A019:DA64 A020:DV03 A021:DA58 A023:DA51 A025:DA57 A027:DV07 A029:DV10 A030:DA65 A031:DV17 A035:DA62 A036:DV16 A037:DV19 A038:DA50 A042:DV01 A046:DA53 A047:DA55 A048:DV15 A049:DV11 A050:DV24 A052:DA47 A060:DA60 A062:DA56 A063:DA44 A064:DV13 A065:DV06 A067:DA42 A068:DA45 A069:DV14 A070:DV21 A071:DA43 T701:PM03 T702:PM02 T703:PM04,2015.1.01115.S,uid://A001/X2fb/X3ec,uid://A001/X2fb/X3eb
J1319+0950,6,1.1836025,J1319+0950_266GHz_12m_C32-6,34689.26299261373,0.22569541339793836,199.79704166666667,9.84761111111111,0.006214329625965151,2903.04,0.017779861120162173,0.5280170331115434,2015-12-17,2000000000.0,266.4765062784736,"[250.48..252.47GHz,31250.00kHz,570.5uJy/beam@10km/s,36.9uJy/beam@native, XX YY] U [252.48..254.47GHz,31250.00kHz,537.4uJy/beam@10km/s,34.9uJy/beam@native, XX YY] U [265.48..267.47GHz,31250.00kHz,528uJy/beam@10km/s,35.2uJy/beam@native, XX YY] U [268.10..270.08GHz,31250.00kHz,526.3uJy/beam@10km/s,35.3uJy/beam@native, XX YY]",A007:DV23 A011:DV22 A019:DA63 A021:DA59 A031:DV11 A033:DV18 A063:DA54 A072:DV01 A075:DA61 A077:DV19 A078:DV04 A079:DA41 A080:DA55 A081:DA42 A082:DA51 A083:DV14 A084:DV06 A085:DA64 A086:DV07 A087:DV02 A090:DA60 A091:DA43 A093:DV24 A096:DA48 A097:DV13 A101:DA62 A103:DA65 A104:DA50 A107:DV21 A134:DV25 A135:DV10 A136:DV16 A138:DV17 T701:PM03,2012.1.00240.S,uid://A002/X7fb989/X18,uid://A002/X7fb989/X17
SDSS_J092303.53+024739.5,7,0.7381791,SDSS_J09_a_07_TE,26723.39388184494,0.3144298523694684,140.7647371,2.7943042,0.004719179541731066,2842.56,0.028028105549469145,0.7451274914123269,2016-08-21,2000000000.0,335.87147047781383,"[334.88..336.86GHz,31250.00kHz,745.1uJy/beam@10km/s,55.8uJy/beam@native, XX YY] U [336.71..338.70GHz,31250.00kHz,744.1uJy/beam@10km/s,55.8uJy/beam@native, XX YY] U [346.78..348.76GHz,31250.00kHz,738.8uJy/beam@10km/s,56.3uJy/beam@native, XX YY] U [348.63..350.62GHz,31250.00kHz,737.9uJy/beam@10km/s,56.3uJy/beam@native, XX YY]",A007:DV22 A011:DV04 A015:DV18 A017:DA57 A021:DA59 A029:DA49 A030:DA45 A031:DV08 A033:DV19 A035:DA52 A037:DV12 A038:DV07 A046:DA62 A058:DA46 A060:DA55 A062:DV05 A064:DA50 A069:DA53 A070:DA47 A072:DV01 A073:DA63 A075:DA61 A076:DV13 A077:DV16 A078:DV15 A079:DA43 A081:DV09 A082:DA42 A083:DV25 A084:DV11 A085:DA51 A086:DV14 A087:DV23 A088:DV20 A089:DA60 A090:DA54 A091:DA58 A093:DV21 A094:DV02 A137:DA41 T702:PM02,2013.1.01153.S,uid://A001/X12e/X2e6,uid://A001/X12e/X2e5
ULAS_J131911.29+095051.4,6,1.9835017,ULAS_J13_a_06_TE,4394.113726646141,0.971640641673317,199.79704166666667,9.847611111111112,0.006238134271436869,1844.64,0.020903862404068278,0.5986948174998573,2017-04-14,1875000000.0,267.28002870968646,"[250.36..252.24GHz,3904.30kHz,657.4uJy/beam@10km/s,44uJy/beam@native, XX YY] U [252.16..254.04GHz,3904.30kHz,610.3uJy/beam@10km/s,41uJy/beam@native, XX YY] U [264.67..266.54GHz,3904.30kHz,600uJy/beam@10km/s,41.2uJy/beam@native, XX YY] U [266.34..268.22GHz,3904.30kHz,598.7uJy/beam@10km/s,41.3uJy/beam@native, XX YY]",A001:DA59 A002:DA49 A003:DV23 A004:DA41 A005:DA54 A006:DA61 A008:DV08 A009:DV18 A010:DV25 A011:DV09 A013:DA48 A014:DV22 A015:DV04 A017:DV12 A018:DA52 A019:DA64 A020:DV03 A021:DA58 A023:DA51 A025:DA57 A027:DV07 A029:DV10 A030:DA65 A031:DV17 A035:DA62 A036:DV16 A037:DV19 A038:DA50 A042:DV01 A046:DA53 A047:DA55 A048:DV15 A049:DV11 A050:DV24 A052:DA47 A060:DA60 A062:DA56 A063:DA44 A064:DV13 A065:DV06 A067:DA42 A068:DA45 A069:DV14 A070:DV21 A071:DA43 A072:DV05 T701:PM03 T702:PM02 T703:PM04,2015.1.00997.S,uid://A001/X2fb/X5d2,uid://A001/X2fb/X5d1
ULAS_J131911.29+095051.4,6,1.8,ULAS_J13_a_06_7M,4395.610183521059,3.8473963416548362,199.797041666673,9.847611111114645,0.010693944767980926,7378.56,0.28510610394762753,9.481937443947466,2018-03-23,2000000000.0,267.2803400630803,"[250.30..252.30GHz,3904.30kHz,8.6mJy/beam@10km/s,556.5uJy/beam@native, XX YY] U [252.10..254.10GHz,3904.30kHz,8mJy/beam@10km/s,520.9uJy/beam@native, XX YY] U [264.61..266.60GHz,3904.30kHz,8.8mJy/beam@10km/s,587.9uJy/beam@native, XX YY] U [266.28..268.28GHz,3904.30kHz,9.5mJy/beam@10km/s,633.1uJy/beam@native, XX YY]",J501:CM10 J502:CM02 J503:CM03 J505:CM08 N601:CM07 N602:CM01 N603:CM09 N604:CM11 N605:CM04 N606:CM06,2015.1.00997.S,uid://A001/X2fb/X5d4,uid://A001/X2fb/X5d1
