ALMA_source_name,Band
J0607-085,9
J0927+390,9
J154929+023707,9
IRAS15398-3359,7
IRAS15398-3359,7
J1107-448,3
J0139+1753,6
J1107-448,7
J1427-421,3
J1107-448,3
J0334-401,6
J0519-4546,6
J1330+2509,6
J0909+0121,6
J0334-401,3
J1147-6753,6
J0510+1800,7
J0701-4634,3
J1230+1223,3
J0050-0929,7
J1037-2934,3
Titan,3
J1224-8313,3
J0423-0120,6
J1147-6753,7
J1256-0547,3
J1215+1654,3
Titan,3
J1229+0203,3
Ephemeris,6
J1833-210,6 7
J0006-0623,7
J0029+3456,7
J1650-5044,6
J1809-4552,6
J2148+0657,3
J2148+0657,3
J2258-2758,6
J1650-5044,7
J1604-4441,7
J1229+0203,7
L483,7
3C454.3,7
J1256-0547,7
J1504+1029,7
J2148+069,9
Neptune,6
J1650-5044,7
J0006-0623,7
SPT_2344-51,3
J2339-3310,6
J2148+0657,3
J1256-057,6
Oph_B-11,9
J1733-130,9
J1733-130,6
J2232+117,6
WLM-SE,3
J2357-5311,3
J1427-4206,3
J0648-3044,7
J0648-3044,9
J0334-4008,6
J0510+180,3
HOPS_287,6
J1924-2914,7
J0006-0623,6
J0006-0623,3
J0334-4008,3
J0423-0120,6
MC27,7
J0635-7516,6
J1744-3116,6
Callisto,6
J2258-2758,3
J1924-2914,6
J1744-3116,7
J0423-0120,7
J0334-401,6
J2235-4835,7
J0552+0313,7
hz3,7
J0519-454,3
ID10076,7
Callisto,7
J1008+0621,7
NGC4418,6
S2CLS_UDS57,7
S2CLS_UDS421,7
J2223-3137,6
J0006-0623,6
2MASS_J16124119-1924182,6
CDFS318,7
J2257+0743,7
J0334-4008,3
J0334-4008,9
J0522-364,9
hz4,7
Callisto,7
J0959+1312,9
Orcus,6
J0006-0623,7
49_Ceti,7
ID9681,9
J0522-364,9
J0922-3959,7
J0522-3627,6
J0701-4634,3
J1058-8003,6
J1924-2914,6
J1924-2914,6
J0635-7516,7
Neptune,7
2MASS_J04262939+2624137,7
J0510+1800,3
PACS-819,3
47_Tuc_V8,6
VVV-WIT-01,3
J0215-0222,3
CDFS_dual,3
J0538-4405,3
J1058+0133,7
J1058+0133,7
J0538-4405,3
J1037-2934,7
J1058+0133,7
J1112-5703,3
J1058+0133,7
CDFS276,7
J0538-4405,7
J0538-4405,7
3c279,7
J0635-7516,3
J0510+180,7
CDFS262,7
J0519-4546,3
J0538-4405,7
Pallas,9
GRB_Afterglows,7
J2331-1556,6
Ganymede,7
J1939-1525,7
J2357-5311,6
J0509+1806,7
Callisto,3
Pallas,9
J2357-5311,3
SXDF1100.045,6
J0423-0120,7
J0635-7516,3
J0334-4008,3
J1037-2934,3
J0635-7516,3
J0701-4634,3
J2258-2758,6
J0215-0222,7
J0519-454,7
J0519-454,7
J0510+1800,6
SXDF1100.110,6
J1058+0133,6
J1058+0133,6
CHA1-81,3
SXDF1100.277,6
J0635-7516,7
J0519-454,7
Neptune,6
J0006-0623,6
J1058-8003,3
Mars,3
Mars,3
Mars,3
Mars,3
J1058+0133,6
J0635-7516,3
ngc3773,3
SDP.163,3
J0635-7516,3
HIP_95261,6
J0525-2338,6
J0423-0120,6
J1107-4449,3
Mars,3
J0635-7516,3
J1256-0547,3
J0635-7516,3
J0635-7516,3
J0519-454,3
J0519-4546,3
2MASS_J04182147+1658470,6
J0519-4546,3
HIP_36948,6
J0532+0732,6
Pallas,7
J1424-4913,6
J2357-5311,3
J2357-5311,3
J0334-4008,3
R_Scl,7
ESO534-G001,3
J1007-0207,7
J0522-3627,7
Pallas,7
J0423-013,6
J0423-0120,6
J0538-4405,6
Ganymede,3
J0538-4405,3
J1107-4449,3
Mars,3
J2258-2758,3
SPT_2319-55,3
J0102-7546,6
SPT_0319-47,6
SPT_0441-46,6
J0519-4546,3
Callisto,3
J0635-7516,3
H-ATLAS_J091043.1-000321,3
SPT_2352-52,3
J0635-7516,3
J0635-7516,3
J0519-454,3
J0635-7516,3
J0334-4008,3
J0522-3627,3
J0102-7546,6
J0519-4546,6
Ganymede,6
Ceres,6
J1058-8003,3
HATLASJ121908.7-010159,3
J1517-2422,3
SPT_2340-59,3
SPT_2357-51,3
J0238+166,3
J1229+0203,3
Mars,3
Mars,3
Mars,3
J0339-0146,3
J0519-454,3
J1058+0133,3
ID209,6
J1427-4206,6
J1331+3030,6
Uranus,3
HATLASJ085616.0+005237,3
Callisto,3
HIP_78043,6
J1626-2951,7
J0334-401,6
J0607-0834,6
Pallas,6
J0334-4008,3
J1008+0621,6
J1256-0547,7
PACS-325,3
ID217,6
Ceres,6
J1517-2422,3
J1751+0939,6
J1745-2900,6
J1229+0203,7
Uranus,6
J0538-440,7
J1037-2934,6
J1107-4449,6
J1751+096,9
SDP.6216,7
SDP.5526,7
Titan,9
J1337-1257,7
J1639+2824,7
SgrA_star,6 7
J1107-4449,7
J2134-0153,7
J2200-5520,6
J0423-0120,7
ID143,6
Titan,6
J1733-1304,7
J1802-3940,7
J1733-1304,6
J0522-364,6
J1230+1223,3
HATLASJ144129.5-000901,3
J1700-2610,6
Ganymede,3
J1427-4206,6
J1745-2900,6
J1924-2914,6
J1745-2900,7
L183,7
HD66811,6
J1107-4449,6
Pallas,6
J0538-4405,6
J1513+0855,9
Ganymede,7
Titan,7
J1427-4206,7
Allers-8,7
Quaoar,7
J1700-261,6 7
J1256-0547,6
J1751+0939,6
J0438+3004,6
J1626-2951,6
HIP_99273,6
J0538-440,6
