ALMA_source_name,Obs.date,ID
J0027,2023-05-25,uid://A001/X15a9/X8e1
J0049+0237,2021-03-13,uid://A001/X1467/Xa3
J0006-0623,2021-03-05,uid://A001/X1467/Xa9
J2129,2023-05-26,uid://A001/X15a9/X8c9
J0538-4405,2023-08-25,uid://A001/X15a9/X8d1
J1427-4206,2020-08-14,uid://A001/X133d/Xa1f
AGAL355.196-00.486,2018-05-17,uid://A001/X885/X2f7
J1517-243,2015-07-11,uid://A001/X120/Xab
G340.17_OFF_0,2020-07-13,uid://A001/X133d/Xa15
J1617-5848,2018-05-04,uid://A001/X885/X2e5
J1337-129,2016-10-06,uid://A001/X196/X81
G12-78339,2021-02-26,uid://A001/X1467/Xfc
AGAL313.576-01.154,2018-05-03,uid://A001/X885/X2dc
J2207-5346,2023-04-27,uid://A001/X15a9/X8a9
G10,2021-01-23,uid://A001/X133d/Xa4e
J2253+1608,2023-05-11,uid://A001/X15a9/X8a5
G28,2020-07-23,uid://A001/X133d/Xa43
L483,2019-09-06,uid://A001/X1284/X21b8
J0237+2848,2024-06-09,uid://A001/X2d1f/X9d5
J0854+2006,2021-02-05,uid://A001/X1467/Xf9
J1650-5044,2020-09-11,uid://A001/X133d/Xa3c
G337_OFF_0,2020-09-03,uid://A001/X133d/Xa40
G331,2020-07-13,uid://A001/X133d/Xa39
G09-42911,2021-02-06,uid://A001/X1467/Xdd
J1751+0939,2019-04-03,uid://A001/X1284/X21c4
HERS8,2024-06-16,uid://A001/X2d1f/X9c9
HELMS45,2024-05-12,uid://A001/X2d1f/X9c1
HELMS_RED_326,2021-02-07,uid://A001/X1467/Xea
DDO_155,2016-02-16,uid://A001/X144/X15
HL Tau,2016-06-24,uid://A002/X8d0549/X68
J1419.0-2639,2021-01-02,uid://A001/X133d/X1f98
J1148+1840,2021-01-02,uid://A001/X133d/X1f78
J1924-2914,2016-05-22,uid://A001/X11e/X38
J1851+0035,2020-07-03,uid://A001/X133d/Xa28
G28_OFF_0,2020-07-13,uid://A001/X133d/Xa2a
B1-c,2019-12-06,uid://A001/X12cf/Xe8
J0103,2023-07-11,uid://A001/X15a9/X8b5
J0536-3401,2019-11-09,uid://A001/X133d/X1f84
J2357,2023-06-09,uid://A001/X15a9/X8b1
J1037-2934,2022-06-11,uid://A001/X1465/X326f
J2258-2758,2019-12-06,uid://A001/X133f/X19a
J0342-3007,2021-04-19,uid://A001/X1465/X2056
J0309+1029,2022-09-03,uid://A001/X14c3/Xd4
J0006-0623,2021-01-25,uid://A001/X1465/X335d
B335,2019-10-08,uid://A001/X1284/X21bc
Titan,2015-07-18,uid://A001/X11e/X34
J1751+0939,2016-07-03,uid://A001/X196/X95
G332.96,2020-07-16,uid://A001/X133d/Xa23
J1517-2422,2020-07-10,uid://A001/X133d/Xa21
J2101,2023-05-05,uid://A001/X15a9/X8bd
J0502+1338,2020-12-27,uid://A001/X133d/X1f7c
J1420+1603,2016-08-27,uid://A001/X13a/X1a5
J2357-5311,2021-02-25,uid://A001/X1467/Xf0
J1617-5848,2016-07-14,uid://A001/X196/X78
G14,2020-02-19,uid://A001/X133d/Xa4c
SNR_0540-69.3,2023-08-09,uid://A001/X1590/X12
HERS5,2024-06-16,uid://A001/X2d1f/X9d9
J1603-4904,2020-02-07,uid://A001/X133d/Xa35
J0210-5101,2023-04-13,uid://A001/X15a9/X8a1
G14,2020-07-31,uid://A001/X133d/Xa2f
J2134-0153,2018-05-11,uid://A001/X879/X64d
J0652,2023-03-30,uid://A001/X15a9/X8cd
SPT2146-55,2018-04-05,uid://A001/X87d/X9fd
J1316-3338,2019-11-28,uid://A001/X133d/X1f88
J0550,2023-05-23,uid://A001/X15a9/X8b9
AGAL316.451-00.654,2022-05-17,uid://A001/X885/X2e2
J0538-4405,2023-08-01,uid://A001/X15a9/X8ad
J2000-1748,2020-07-18,uid://A001/X133d/Xa4a
J0403+2600,2020-11-30,uid://A001/X133d/X1f3e
J0529-7245,2023-09-21,uid://A001/X1590/X16
J0538-4405,2021-02-18,uid://A001/X1465/X337d
J0529-7245,2019-12-06,uid://A001/X12cf/Xdb
J1517-2422,2020-07-03,uid://A001/X133d/Xa1a
J0455-4615,2021-02-18,uid://A001/X1465/X3379
ISO-Oph_042,2018-09-05,uid://A001/X879/X65d
PJ308-21,2024-09-19,uid://A001/X2d20/X3b10
SPT0418-47,2021-02-18,uid://A001/X1465/X3375
J0519-4546,2023-05-17,uid://A001/X15a9/X8c1
G14.114-0.574,2017-08-24,uid://A001/X196/X64
SPT2037-65,2021-01-02,uid://A001/X1465/X3389
J1150-0023,2018-02-27,uid://A001/X2fb/Xd03
J0538-4405,2021-02-18,uid://A001/X1465/X3371
J1516+1932,2018-04-07,uid://A001/X2fb/Xd07
J0423-0120,2019-11-15,uid://A001/X133d/X1f70
J0423-0120,2022-08-26,uid://A001/X14c3/Xba
NGC_7674,2021-04-03,uid://A001/X14c3/Xc4
Ref_001_SMC_SWBar,2019-11-16,uid://A001/X133f/X196
J0334-4008,2021-02-18,uid://A001/X1465/X336d
J0725-0054,2021-01-26,uid://A001/X1465/X3381
TW_Hya,2016-06-12,uid://A001/X144/X2a
J1351.5-1814,2019-12-21,uid://A001/X133d/X1f74
J1922+1530,2016-10-22,uid://A001/X196/X93
J1037-2934,2019-04-11,uid://A001/X12cf/Xff
J0112-6634,2019-12-18,uid://A001/X133f/X19e
BHR71-IRS1,2019-10-08,uid://A001/X1284/X21c0
J0231-4746,2023-02-03,uid://A001/X15a9/X8c5
J1924-2914,2019-12-10,uid://A001/X12cf/Xf5
J1058+0133,2022-05-04,uid://A001/X1473/Xc
J2253+1608,2022-10-26,uid://A001/X14c3/Xae
G28,2021-10-29,uid://A001/X133d/Xa47
GLz11,2022-09-23,uid://A001/X2dfa/X144
J1058+0133,2020-02-21,uid://A001/X133d/X34fc
J2025+3343,2018-07-21,uid://A001/X879/X36f
J2258-2758,2020-01-09,uid://A001/X133d/Xd4
334665,2018-01-25,uid://A001/X87c/X34c
J0510+1800,2018-11-24,uid://A001/X87c/X362
Titan,2015-01-24,uid://A002/X6f9b0f/X1f6
J0336+3218,2018-08-15,uid://A001/X5a3/Xc0
J1256-0547,2023-09-02,uid://A001/X1590/X2c04
J1025+1253,2022-11-04,uid://A001/X1465/X2db7
J1058+0133,2022-08-27,uid://A001/X1465/X2db4
J2253+1608,2018-08-11,uid://A001/X87a/Xa28
J0522-3627,2018-03-25,uid://A001/X87a/Xa1b
J0104-2416,2017-08-12,uid://A001/X5a4/X157
J0423-0120,2018-05-26,uid://A001/X87a/Xa19
J0121+0422,2023-09-14,uid://A001/X1590/X2c74
J2357-5311,2018-01-24,uid://A001/X5a4/X155
m33_brick3_box5_OFF_0,2024-05-30,uid://A001/X2d20/X2aaa
Ganymede,2018-03-25,uid://A001/X87a/Xa02
m33_brick3_box7_OFF_0,2024-05-18,uid://A001/X2d20/X2aba
J1651+0129,2017-09-01,uid://A001/X5a3/X18c
J0521+2112,2018-08-12,uid://A001/X879/X417
001533.98+193402.4,2023-10-12,uid://A001/X2d20/X3d46
J0510+1800,2018-04-07,uid://A001/X87a/Xa69
J1427-4206,2018-10-03,uid://A001/X5a4/X110
J0231-4746,2020-01-02,uid://A001/X136d/X58
J1751+0939,2020-10-15,uid://A001/X133d/X34d4
J1743-0350,2020-09-12,uid://A001/X133d/X34bc
J1851+0035,2022-12-17,uid://A001/X133d/X21b8
PACS_830,2018-05-22,uid://A001/X87a/Xa44
J1331+3030,2023-06-02,uid://A001/X15b3/X73
J2232+1143,2023-12-29,uid://A001/X2d20/X2ae8
183002.1-020815,2020-07-09,uid://A001/X136d/X63
G034.43+00.24-MM3,2020-08-15,uid://A001/X133d/X34b8
J1256-0547,2023-07-01,uid://A001/X15b3/X69
m33_brick3_box12,2024-05-18,uid://A001/X2d20/X2ae2
flow25,2022-11-19,uid://A001/X14c3/X3ef
B335_OFF_0,2020-07-31,uid://A001/X133d/X34b0
G35.03+0.35,2018-07-20,uid://A001/X879/X2ce
J1427-4206,2024-06-06,uid://A001/X14c3/X3ed
J2315-5018,2020-08-08,uid://A001/X1358/X218
J1333+2725,2023-04-06,uid://A001/X15b3/X6d
J1924-2914,2022-09-09,uid://A001/X1465/X1ace
J1631-5256,2018-12-07,uid://A001/X1296/X947
J1713-2658,2023-10-14,uid://A001/X2d20/X3f05
GRB210702A,2022-08-31,uid://A001/X14ed/Xa3
J16035793-1942108,2023-06-23,uid://A001/X1465/X2df5
Mosaic2,2020-01-20,uid://A001/X133d/X34fe
J1337-1257,2019-06-21,uid://A001/X1296/X972
Ganymede,2018-02-15,uid://A001/X879/X383
J0349-4858,2020-02-23,uid://A001/X12d1/X10c
J0038-2459,2019-11-30,uid://A001/X133d/Xc8
V4046_Sgr,2021-09-04,uid://A001/X1465/X2dd9
J1347+1217,2019-04-03,uid://A001/X1296/X95e
CW_Leo,2022-08-18,uid://A001/X1465/X2dae
J0854+2006,2022-09-09,uid://A001/X1465/X2dba
SDSS_J021613.77-003334.8,2023-12-27,uid://A001/X2d20/X3db9
SDSS_J010113.36-002948.3,2024-01-04,uid://A001/X2d20/X3db6
J2232+1143,2024-07-17,uid://A001/X2d20/X2ab0
J1534-3526,2017-07-01,uid://A001/X2fb/Xba1
J0217-0820,2020-01-08,uid://A001/X136d/X40
L1544,2018-04-21,uid://A001/X87a/Xa6b
J0910+1656,2019-12-22,uid://A001/X136d/X3c
J1205-2634,2020-02-07,uid://A001/X133d/X3255
G31.41+0.31,2020-12-26,uid://A001/X133d/X21b4
J0248-1631,2019-01-31,uid://A001/X1296/X917
m33_brick3_box13,2024-05-04,uid://A001/X2d20/X2aea
AT2022cmc,2023-03-14,uid://A001/X15b3/X60
J1743-0350,2018-09-04,uid://A001/X87a/Xa2c
AT2022cmc,2023-06-15,uid://A001/X15b3/X66
ES1_z_1.65,2020-01-04,uid://A001/X1358/X239
J0750+1231,2018-09-28,uid://A001/X87a/Xa40
J1924-2914,2020-08-11,uid://A001/X133d/X34ac
J1924-2914,2020-08-08,uid://A001/X1358/X21c
Callisto,2015-02-11,uid://A002/X67ccb6/X3a
J0510+1800,2023-08-09,uid://A001/X15a1/X21a
J0208-0047,2022-11-09,uid://A001/X1465/X1ae4
J1347+1217,2019-02-02,uid://A001/X1296/X95a
J0238+1636,2018-01-25,uid://A001/X879/X2d9
J0217-0820,2020-08-17,uid://A001/X133d/X21f5
J1333+2725,2018-09-04,uid://A001/X87c/X1cd
J2056-4714,2022-09-15,uid://A001/X14ed/Xa6
Elias_29,2022-12-14,uid://A001/X1465/X1ad2
J1427-4206,2018-03-29,uid://A001/X87a/Xa9a
J0922-3959,2020-07-02,uid://A001/X133d/X34f8
J2056-4714,2022-09-20,uid://A001/X14ed/Xa9
IRAS_18432-0149,2023-10-10,uid://A001/X2d20/X3f02
J2348-1631,2019-12-18,uid://A001/X133d/X21d7
J1650-5044,2018-12-08,uid://A001/X1296/X93d
J1924-2914,2024-02-27,uid://A001/X15a9/Xfb1
flow18,2023-09-09,uid://A001/X15a9/Xfb3
J2044-0632,2019-03-01,uid://A001/X87c/X357
J1109-3732,2020-10-25,uid://A001/X138b/X54
J1229+0203,2019-06-05,uid://A001/X1296/X96e
J0431+1731,2022-10-29,uid://A001/X1465/X1aba
ngc253,2020-01-07,uid://A001/X133d/Xce
J1025+1253,2022-06-24,uid://A001/X1465/X2da8
SN_1987A,2020-12-27,uid://A001/X133d/X2302
J0334-4008,2018-06-07,uid://A001/X879/X303
001252.87-090228.5,2023-10-24,uid://A001/X2d20/X3d42
m33_brick2_box2_OFF_0,2024-06-23,uid://A001/X2d20/X2a1a
J0439+1634,2020-01-19,uid://A001/X136d/X54
J0725-0054,2024-04-24,uid://A001/X2d20/Xd0e
J0854+2006,2018-05-12,uid://A001/X87a/Xa4c
J0854+2006,2020-01-03,uid://A001/X136d/X5c
J1232-0224,2019-02-14,uid://A001/X1296/X903
J1246-0730,2019-02-14,uid://A001/X1296/X907
J2025+3343,2022-10-19,uid://A001/X1465/X1afb
J1633-2557,2023-04-12,uid://A001/X1465/X1ade
J1058-8003,2022-12-07,uid://A001/X1465/X1aea
J0237+2848,2018-02-15,uid://A001/X879/X2df
Ser-emb8n,2020-08-29,uid://A001/X133d/X34f0
J1743-0350,2020-09-14,uid://A001/X133d/X34ec
J1626-2951,2018-03-23,uid://A001/X87a/Xa9c
IRAS_18266-1239,2023-10-11,uid://A001/X2d20/X3f08
W33A,2018-09-09,uid://A001/X879/X2f0
J1642-2849,2022-10-29,uid://A001/X1465/X1ac2
J0006-0623,2020-02-14,uid://A001/X133d/Xda
J0038-2459,2020-09-10,uid://A001/X133d/Xd8
J1924-2914,2023-09-15,uid://A001/X1590/X2c1c
J0006-0623,2020-02-21,uid://A001/X133d/Xc6
J0239-0234,2023-08-24,uid://A001/X1590/X2c10
J1116+0829,2020-08-20,uid://A001/X133d/Xa1
J0529-7245,2021-02-27,uid://A001/X133d/X2306
J0423-0120,2024-07-11,uid://A001/X2d20/X2a18
J0854+2006,2023-10-18,uid://A001/X1590/X1ce8
J1625-2527,2020-09-08,uid://A001/X133d/X34cc
J2300+1655,2023-12-21,uid://A001/X15b3/X47
J0112+2244,2024-03-10,uid://A001/X2d20/X2ac0
J0748+2400,2020-08-08,uid://A001/X136d/X4c
J0045-3705,2019-11-20,uid://A001/X1358/X235
Ser-emb8s,2020-09-05,uid://A001/X133d/X34c8
herbs85,2023-10-26,uid://A001/X1590/X2c70
J1555+1111,2021-01-29,uid://A001/X1465/X1af0
J0423-0120,2023-10-14,uid://A001/X2d20/X2af0
J0239-0234,2019-11-26,uid://A001/X1358/X231
J1333+2725,2023-05-09,uid://A001/X15b3/X70
J0423-013,2016-03-09,uid://A002/X67ccb6/X38
J1642-2849,2022-12-07,uid://A001/X1465/X1ada
NGC1068,2018-11-24,uid://A001/X879/X2dd
J0825+0309,2015-04-16,uid://A002/X67ccb6/X14
113083,2015-04-16,uid://A002/X67ccb6/X18
RCrA_IRS7B,2022-11-05,uid://A001/X1465/X1aca
J0237+2848,2023-02-08,uid://A001/X1465/X2de4
J0425-5331,2020-02-01,uid://A001/X12d1/X118
SDSS_J014220.81-005331.1,2023-12-28,uid://A001/X2d20/X3dbc
J2232+1143,2024-06-20,uid://A001/X2d20/X2aa8
J1317-5441,2018-03-20,uid://A001/X5a4/X174
J1534-3526,2018-05-22,uid://A001/X2fb/Xb9f
Ceres,2016-12-16,uid://A001/X13c/X45
J0006-0623,2024-09-29,uid://A001/X2d20/Xd16
J1751+0939,2019-12-10,uid://A001/X133d/X21a7
VLA1623,2020-02-15,uid://A001/X133d/X34d0
J0948+0022,2018-02-16,uid://A001/X87a/Xa50
J1147-6753,2017-09-12,uid://A001/X5a4/X114
J0509+0541,2020-02-08,uid://A001/X133d/X34e4
helms40,2023-05-25,uid://A001/X1590/X2c94
J1331+3030,2023-05-04,uid://A001/X15b3/X63
J0006-0623,2023-09-27,uid://A001/X1590/X2c6c
J1751+0939,2020-09-14,uid://A001/X133d/X34c4
J2348-1631,2020-12-23,uid://A001/X133d/X21db
ngc_424,2019-01-06,uid://A001/X1296/X91b
J1517-2422,2018-03-25,uid://A001/X87a/Xaa0
J0239-0234,2018-10-20,uid://A001/X879/X2d7
J2258-2758,2020-01-16,uid://A001/X133d/X21f9
J0510+1800,2022-09-07,uid://A001/X1465/X1abe
J1037-2934,2019-10-16,uid://A001/X138b/X56
J0006-0623,2020-09-10,uid://A001/X133d/Xcc
J0208-0047,2019-01-31,uid://A001/X1296/X988
J1427-4206,2019-06-06,uid://A001/X87a/Xa04
TW_Hya,2018-04-12,uid://A001/X889/X190
Ref_078_SMC_SWBar,2020-02-08,uid://A001/X133f/X2ca
HH108_OFF_0,2020-09-07,uid://A001/X133d/X34c0
J1427-4206,2018-10-03,uid://A001/X5a4/X116
J1617-5848,2018-10-03,uid://A001/X5a4/X11a
J0948+0022,2018-04-21,uid://A001/X87a/Xa48
J2232+1143,2024-06-19,uid://A001/X2d20/X2af8
J0423-0120,2024-04-19,uid://A001/X2d20/X2ae0
J2348-1631,2020-10-29,uid://A001/X133d/X21cf
J1617-5848,2018-10-31,uid://A001/X1296/X933
J1427-4206,2019-06-03,uid://A001/X87a/Xaa2
J0603+1742,2022-12-04,uid://A001/X1465/X2dfe
Elias_29,2022-08-31,uid://A001/X1465/X1ad6
J2103-0933,2018-02-01,uid://A001/X87c/X353
J0038-2459,2020-09-07,uid://A001/X133d/Xd2
J0038-2459,2018-11-08,uid://A001/X87c/X369
Pisco,2019-09-04,uid://A001/X1296/X962
J1427-4206,2018-03-17,uid://A001/X5a4/X170
m33_brick3_box6_OFF_0,2024-06-15,uid://A001/X2d20/X2ab2
m33_brick3_box9,2024-05-04,uid://A001/X2d20/X2aca
J0522-3627,2018-08-27,uid://A001/X87a/Xa65
OMC3-MMS6_OFF_0,2020-01-22,uid://A001/X133d/X34e0
J0112+2244,2024-04-17,uid://A001/X2d20/X2ae6
J0948+0022,2018-04-03,uid://A001/X87a/Xa3c
J1256-0547,2019-04-19,uid://A001/X1296/X96a
J2258-2758,2023-09-08,uid://A001/X1590/X2c78
J0006-0623,2024-02-23,uid://A001/X2d20/X2ac8
J0103-6439,2019-11-12,uid://A001/X133f/X2c6
granat_1915+105,2020-08-22,uid://A001/X133d/X21aa
J2232+1143,2024-07-14,uid://A001/X2d20/X2ad8
m33_brick3_box8,2024-06-20,uid://A001/X2d20/X2ac2
J0538-4405,2020-10-15,uid://A001/X133d/X34dc
J1751+0939,2020-09-14,uid://A001/X133d/X34b4
m33_brick3_box15_OFF_0,2024-06-28,uid://A001/X2d20/X2afa
J2232+1143,2023-12-29,uid://A001/X15b3/X4b
J0750+1231,2018-01-24,uid://A001/X879/X37b
J1256-0547,2022-10-26,uid://A001/X133d/Xad
Ganymede,2018-01-24,uid://A001/X879/X37f
J2253+1608,2020-10-27,uid://A001/X2cf/X15
ngc2566,2024-05-04,uid://A001/X2d20/Xd10
SPT0418-47,2021-02-01,uid://A001/X1358/X214
J1642-2849,2022-09-09,uid://A001/X1465/X1ac6
J2357-5311,2017-12-29,uid://A001/X87c/X36b
J1924-2914,2019-04-01,uid://A001/X879/X397
J2232+1143,2024-03-03,uid://A001/X2d20/X2ab8
J0542-0913,2018-05-12,uid://A001/X87a/Xa15
J0956+2515,2023-02-01,uid://A001/X1590/X1cec
Ser-emb17_OFF_0,2020-09-10,uid://A001/X133d/X34d8
J1550+0527,2016-12-15,uid://A002/X609170/X140
J0923-2135,2024-05-29,uid://A001/X2d20/Xd06
J0522-3627,2018-09-15,uid://A001/X87a/Xa30
J1305-2850,2019-02-02,uid://A001/X1296/X90b
Pisco,2019-01-27,uid://A001/X1296/X976
J0519-4546,2022-12-21,uid://A001/X2dfa/Xf
OMC2-FIR4,2018-04-07,uid://A001/X87a/Xa13
J1857-0048,2022-10-19,uid://A001/X1465/X2dc7
m33_brick3_box11,2024-04-20,uid://A001/X2d20/X2ada
J0930+0034,2020-01-03,uid://A001/X136d/X50
ngc2835,2024-04-26,uid://A001/X2d20/Xd08
J2258-2758,2024-07-11,uid://A001/X2d20/X2ad0
m33_brick3_box10,2024-05-18,uid://A001/X2d20/X2ad2
J1427-4206,2019-02-14,uid://A001/X1296/X913
R_Aqr,2020-12-16,uid://A001/X133d/X21d3
J0750+1231,2016-08-05,uid://A002/X99422c/Xb
J0541-0541,2018-11-09,uid://A001/X87c/X35e
J0522-3627,2019-01-04,uid://A001/X1296/X91f
Ganymede,2018-01-27,uid://A001/X889/X1a0
Pisco,2019-07-17,uid://A001/X1296/X966
J0339-0146,2020-01-15,uid://A001/X133d/X2201
J1851+0035,2018-04-12,uid://A001/X879/X39b
HH111-HH212,2020-11-14,uid://A001/X133d/X34e8
HOPS_287,2017-02-08,uid://A002/X99422c/X1c
HOPS_186,2017-01-27,uid://A002/X99422c/X1a
J0217-0820,2023-04-04,uid://A001/X133d/X21f7
J1751+0939,2017-12-09,uid://A001/X879/X395
J0423-0120,2020-08-09,uid://A001/X133d/X21fd
J1851+0035,2019-04-01,uid://A001/X879/X39d
J0854+2006,2022-08-17,uid://A001/X1465/X2dab
HOPS_171,2017-01-20,uid://A002/X99422c/X18
m33_brick3_box14,2024-05-09,uid://A001/X2d20/X2af2
HOPS_136,2016-12-11,uid://A002/X99422c/X16
ADFS-AzTEC74,2016-08-12,uid://A001/X144/Xe7
J0538-4405,2022-12-12,uid://A001/X158f/Xcc3
8492,2016-10-19,uid://A001/X144/X1d0
R_Aql,2019-12-13,uid://A001/X133d/X1213
J2303-3030,2020-11-26,uid://A001/X133d/X1201
G287.36+0.64,2023-06-06,uid://A001/X1590/X2a37
J1022-1037,2018-01-13,uid://A001/X88f/X279
J1058+0133,2018-03-24,uid://A001/X879/X183
J1048-1909,2017-12-22,uid://A001/X88f/X276
T_Mic,2019-12-10,uid://A001/X133d/X120e
Sun,2018-07-06,uid://A001/X87c/X566
COSMOS_21546,2017-11-08,uid://A001/X2d6/X96
J0942-0759,2017-11-08,uid://A001/X88f/X270
J1256-0547,2020-10-22,uid://A002/X9a055b/X23
J1744-3116,2016-03-30,uid://A001/X121/X2e3
Venus,2016-03-02,uid://A001/X121/X2ee
nrao530,2018-09-08,uid://A001/X87c/X55e
G019.27+00.07,2020-02-14,uid://A001/X133d/X2512
J1744-3116,2015-09-23,uid://A001/X121/X2e1
Titan,2016-01-27,uid://A001/X121/X2ec
J1924-2914,2018-04-12,uid://A001/X87d/X54
J1058+0133,2019-09-10,uid://A001/X12d1/X389
Transient_Black_Hole_X-ray_Binary,2019-05-24,uid://A001/X12d1/X36b
J0538-4405,2024-09-27,uid://A001/X2d20/X2cf7
J1524-5903,2019-06-27,uid://A001/X12d1/X36e
J1524-5903,2020-10-31,uid://A001/X13c5/X71
J1258-1800,2021-01-27,uid://A001/X1465/X26e
J1427-4206,2015-12-17,uid://A001/X121/X2c3
J1851+0035,2020-03-05,uid://A001/X133d/X251e
J1924-2914,2018-02-12,uid://A001/X87d/X4c
J0238+1636,2021-01-11,uid://A001/X1465/X27c
J1733-1304,2018-04-07,uid://A001/X87d/X48
NGC5253,2018-12-11,uid://A001/X1288/Xbc4
J2258-2758,2022-08-26,uid://A001/X14c3/X5ea
J1851+0035,2018-10-18,uid://A001/X889/X2f9
N132D_C_OFF_0,2023-09-21,uid://A001/X15a9/Xe15
J1103+1158,2019-10-18,uid://A001/X1288/Xbae
J1058+0133,2018-05-15,uid://A001/X889/X2e0
ngc3773,2015-03-31,uid://A002/X5a9a13/X7da
J0403+2600,2022-12-24,uid://A001/X133d/X10cf
2MASS_J04202144+2813491,2018-03-02,uid://A001/X889/X2e9
J1246-0730,2023-03-22,uid://A001/X15bc/X404
Arp_187,2019-09-12,uid://A001/X1296/X73e
Arp_187,2019-12-27,uid://A001/X1296/X73a
NGC_1315,2021-01-28,uid://A001/X1465/X296
J0510+1800,2018-10-23,uid://A001/X889/X2d0
J0334-4008,2018-05-01,uid://A001/X886/X174
Ganymede,2015-03-10,uid://A002/X5d7935/Xf6
NGC_1079,2021-03-16,uid://A001/X1465/X292
J0519-4546,2021-01-28,uid://A001/X1465/X29c
J2056-4714,2019-07-09,uid://A001/X12d1/X371
J1751+0939,2020-02-19,uid://A001/X133d/X2506
J1924-2914,2018-05-30,uid://A001/X879/X13e
J0510+180,2015-10-07,uid://A002/X5d7935/X101
J1830-1606,2019-02-22,uid://A001/X889/X2c8
J0336-3616,2022-09-22,uid://A001/X14c3/X749
sigOri_1153,2018-08-13,uid://A001/X88f/X28a
TW_Hya,2019-11-28,uid://A001/X87d/X15
J0334-4008,2024-02-15,uid://A001/X2d1f/X291
J0519-4546,2016-03-09,uid://A002/X996c88/X36
J1107-4449,2016-05-06,uid://A002/X996c88/X32
J0854+2006,2021-01-03,uid://A001/X1458/X1d9
J1744-3116,2018-10-13,uid://A001/X879/X162
J2348-3054,2022-09-08,uid://A001/X14c3/X759
the_50_kms_cloud,2018-11-13,uid://A001/X88f/X297
J1744-3116,2018-05-29,uid://A001/X88f/X299
OH1.221+0.294,2017-11-16,uid://A001/X88f/X290
C169076,2018-02-24,uid://A001/X879/X17f
J1924-2914,2020-11-02,uid://A001/X133d/X1211
J1058+0133,2018-03-01,uid://A001/X879/X17b
S_Pav,2020-11-19,uid://A001/X133d/X1206
S_Pav,2019-11-20,uid://A001/X133d/X1208
J1337-6509,2023-09-07,uid://A001/X1590/X2a34
J1022-1037,2017-12-09,uid://A001/X88f/X273
J0423-0120,2023-09-14,uid://A001/X1590/X2a28
J2000-1748,2019-12-11,uid://A001/X133d/X1219
J2253+1608,2018-07-07,uid://A001/X87d/X5c
J1733-1304,2020-01-16,uid://A001/X133d/X2510
J0854+2006,2017-12-24,uid://A001/X879/X194
J2148+0657,2018-05-01,uid://A001/X879/X1a0
Titan,2019-04-01,uid://A001/X88f/X245
J1751+0939,2020-03-04,uid://A001/X133d/X2516
J1733-1304,2015-10-07,uid://A001/X121/X2ac
J1733-1304,2018-03-27,uid://A001/X87d/X50
J1337-1257,2021-03-12,uid://A001/X1465/X270
G028.53-00.25,2020-01-07,uid://A001/X133d/X2522
J1924-2914,3000-01-01,uid://A001/X12fc/X108
IM_Lup,2016-02-11,uid://A001/X121/X2c5
J0006-0623,2022-09-10,uid://A001/X14c3/X5e3
J0522-364,2015-08-05,uid://A001/X13a/X9
ngc4579,2015-05-02,uid://A002/X5a9a13/X7d6
J1955+1358,2015-06-18,uid://A002/X5a9a13/X7cb
J2349-4932,2018-04-28,uid://A001/X886/X17a
J0522-3627,2019-11-07,uid://A001/X1292/X14a
J0510+180,2015-02-28,uid://A002/X5d7935/Xf2
J1733-1304,2020-01-20,uid://A001/X133d/X2508
Arp_230,2019-09-07,uid://A001/X1296/X726
J2253+1608,2019-06-15,uid://A001/X12d1/X341
Mars,2016-01-22,uid://A001/X121/X2f5
J1307-5019,2020-10-03,uid://A001/X13c5/X1e
J0909+0121,2021-04-09,uid://A001/X14c3/X72b
J1150+2417,2018-04-21,uid://A001/X889/X2b2
J0239-0234,2018-11-30,uid://A001/X87c/X58a
Neptune,2018-08-26,uid://A001/X87c/X616
J0309-6058,2021-01-22,uid://A001/X13c5/X2f
J1218-0119,2019-06-05,uid://A001/X12d1/X33d
J0604-4225,2019-12-27,uid://A001/X1296/X742
J1924-2914,2020-01-22,uid://A001/X133d/X2530
G174.20-0.08,2023-09-19,uid://A001/X1590/X2a31
J1924-2914,2018-02-10,uid://A001/X886/X14b
J0948+0022,2018-03-21,uid://A001/X879/X18b
J2000-1748,2019-11-29,uid://A001/X133d/X1224
J1744-3116,2016-01-02,uid://A001/X121/X2e5
DDO_70,2018-11-29,uid://A001/X879/X192
G028.37+00.07,2020-02-25,uid://A001/X133d/X251a
NGC1097,2024-04-24,uid://A001/X2d20/X2cf9
J1924-2914,2024-02-28,uid://A001/X15a9/X1041
NGC_7727,2021-03-11,uid://A001/X1465/X282
J0106-4034,2022-11-08,uid://A001/X1590/X2a0a
J1058+0133,2023-04-11,uid://A001/X15bc/X415
Cloverleaf,2019-05-30,uid://A001/X12d1/X315
J0423-0120,2022-09-23,uid://A001/X14c3/X5f6
ESO_093-G003,2021-01-08,uid://A001/X1465/X28c
Transient_Black_Hole_X-ray_Binary,2019-05-29,uid://A001/X12d1/X362
J0448+3629,2018-03-09,uid://A001/X889/X2d2
NGC_1315,2021-03-12,uid://A001/X1465/X298
GRB190829A,2021-06-30,uid://A001/X1458/X1ed
J0317-2803,2021-01-08,uid://A001/X1465/X290
J0510+1800,2015-10-24,uid://A002/X5d7935/Xff
J1018-3123,2021-03-07,uid://A001/X1465/X2a2
J1256-0547,2020-10-22,uid://A002/X9a055b/X56
J1743-3058,2016-06-03,uid://A001/X121/X2f3
