ALMA_source_name,Obs.date,ID
J0237+2848,2018-01-13,uid://A001/X33e/X127
04288+1802,2021-01-22,uid://A001/X1467/X260
G5127982,2024-07-18,uid://A001/X3577/X48a
MACS_J1931.8-2635,2018-08-29,uid://A001/X879/X508
J1058+0133,2024-01-04,uid://A001/X2d20/X21cd
J0423-0120,2018-11-02,uid://A001/X879/X501
Neptune,2018-04-04,uid://A001/X8a9/Xf0
J0854+2006,2021-04-22,uid://A001/X1465/X27ef
J1147-6753,2020-09-05,uid://A001/X133d/Xde8
J0423-0120,2015-08-28,uid://A001/X121/X24b
Ganymede,2016-07-31,uid://A001/X12f/X327
J0519-454,2015-05-20,uid://A002/X5d7935/X3bd
NGC1808,2016-05-13,uid://A001/X12e/X2be
ad3a-19645,2021-04-28,uid://A001/X1469/X180
ad3a-07906,2017-03-17,uid://A001/X2df/X76
Ceres,2015-08-26,uid://A001/X12f/X2dc
ad3a-24239,2021-04-21,uid://A001/X1469/X194
GM_Aur,2020-01-10,uid://A001/X133d/X19a3
04158+2805,2023-05-04,uid://A001/X1467/X272
PANSTARRS_C2017_K2,2023-09-07,uid://A001/X2df9/X34
J0440+2728,2019-01-26,uid://A001/X1296/X654
J1146-2859,2016-03-23,uid://A001/X12b/X1bf
ad3a-24389,2023-03-14,uid://A001/X1590/X1850
IM_Lup,2019-11-15,uid://A001/X133d/X19a8
RV_Aqr,2019-07-12,uid://A001/X13d5/X118
J1058+0133,2016-02-11,uid://A001/X11d/X21
J1504+1029,2020-08-06,uid://A001/X133d/X1c7f
J0423-0120,2021-04-30,uid://A001/X1465/X2767
SXDS-AzTEC171,2017-09-06,uid://A001/X2fe/X75d
J0536+0944,2018-12-15,uid://A001/X1288/Xb64
SXDS-AzTEC25,2016-12-02,uid://A001/X144/Xef
J1058+0133,2019-12-15,uid://A001/X1288/Xbbe
J0438+2153,2019-02-14,uid://A001/X1288/Xb68
HOPS-213,2018-10-03,uid://A001/X340/X1f5
HOPS-102,2018-10-03,uid://A001/X340/X1f1
Titan,2017-02-05,uid://A001/X21f/X88
J1924-2914,2017-04-19,uid://A001/X2fb/X483
ad3a-27093,2022-12-24,uid://A001/X1590/X192c
J0423-0120,2019-11-01,uid://A001/X1320/X110
SSA22-AzTEC8,2017-08-05,uid://A001/X2fe/X759
ALESS017.1,2017-03-11,uid://A001/X2f6/Xb2
SMG_7,2021-04-29,uid://A001/X1465/Xa65
NGC4418,2024-12-29,uid://A001/X2d20/X212b
ad3a-08084,2017-03-04,uid://A001/X2df/X6a
J0334-4008,2015-07-15,uid://A002/X5a9a13/X7ad
RA16_26_25.464,2019-07-17,uid://A001/X87d/X29e
2MASSJ03250943+3046215,2025-01-23,uid://A001/X362b/X4f9
J1744-3116,2024-05-09,uid://A001/X3578/X27d
J0854+2006,2024-12-29,uid://A001/X3621/X3665
J0725-2640,2024-12-28,uid://A001/X1590/X1df1
J0334-4008,2024-11-08,uid://A001/X3621/X13a3
J0538-4405,2024-11-09,uid://A001/X3621/X1d98
J0459+3106,2022-11-04,uid://A001/X133d/X19a1
J2126-4605,2023-06-09,uid://A001/X1590/X2a7c
J0423-0120,2024-05-17,uid://A001/X2d20/X320e
Position_3_OFF_0,2021-04-21,uid://A001/X1465/X1010
04166+2706,2023-08-18,uid://A001/X1467/X26e
ad3a-21270,2023-02-22,uid://A001/X1590/X182c
J1832-1035,2021-02-05,uid://A001/X133d/X14e8
J2056-4714,2021-06-30,uid://A001/X142c/X266
GSb_65,2017-12-21,uid://A001/X2d8/Xfd
ad3a-20689,2022-12-23,uid://A001/X1590/X18bc
J1229+0203,2019-02-14,uid://A001/X1288/Xbc0
J0334-4008,2021-05-24,uid://A002/X5a9a13/X7af
G038.5493+00.1646,2024-10-12,uid://A001/X3621/X456d
J0432-5109,2024-12-20,uid://A001/X3621/X45c4
J0440+2728,2025-02-14,uid://A001/X3621/X45d2
G326.99-0.03,2024-12-15,uid://A001/X362b/X407
J0525-5725,2024-10-17,uid://A001/X362b/X262
RHS61,2024-10-19,uid://A001/X362b/X4aa
J1924-2914,2024-10-21,uid://A001/X3621/X4547
J0516-6207,2024-10-24,uid://A001/X362b/X2a2
J0217+0144,2024-10-12,uid://A001/X3621/X4fc
J0423-0120,2024-10-19,uid://A001/X362b/X4d8
2MASSJ11432669-7804454,2024-11-24,uid://A001/X362b/X467
ngc1365,2024-10-20,uid://A001/X3621/X498b
J0840+1312,2024-10-20,uid://A001/X3628/X174
J0440+2728,2024-10-13,uid://A001/X362b/X44c
J0725-0054,2024-10-10,uid://A001/X3621/X24f9
J1857-0048,2024-10-19,uid://A001/X3621/X4597
J2357-5311,2022-07-28,uid://A001/X1465/X3c46
J0115-2804,2024-10-19,uid://A001/X362b/X49a
WB89_1165_OFF_0,2024-06-08,uid://A001/X335d/X1ef
G08.710.41_OFF_0,2025-04-04,uid://A001/X3621/X33c6
ngc1566,2024-11-09,uid://A001/X3621/X4973
G326.99-0.03_OFF_0,2024-12-22,uid://A001/X362b/X409
NGC7319,3000-01-01,uid://A001/X362b/X180
J0538-4405,2024-10-20,uid://A001/X362b/X4dd
J1025+1253,2024-11-03,uid://A001/X3621/X24e9
J2223-3137,2024-04-11,uid://A001/X3577/X4ce
J0238+1636,2024-10-24,uid://A001/X3621/X4997
J2253+1608,2019-09-19,uid://A001/X1284/Xba7
Titan,2016-10-07,uid://A001/X12f/X325
J1058+0133,2019-05-30,uid://A001/X1284/X183a
J0538-440,2015-05-12,uid://A002/X6444ba/Xaf
HD 142527,2013-08-06,uid://A002/X391d0b/X226
J1617-5848,2020-09-19,uid://A001/X133d/X416a
L1448_IRS_3B,2024-01-06,uid://A001/X15a1/X1b68
IRDC_18223-3,2019-12-17,uid://A001/X133d/X1b51
J1517-2422,2022-06-14,uid://A001/X14f8/Xba
J1924-2914,2019-06-25,uid://A001/X1288/X40f
J1309+1154,2020-12-02,uid://A001/X128e/X384
J0519-4546,2024-10-25,uid://A001/X3621/X487
J0423-0120,2017-04-01,uid://A001/X2fa/X138
GRB_191221B,2021-10-10,uid://A001/X14d7/Xe5
ad3a-25741,2023-01-26,uid://A001/X1590/X186c
UDS.0459,2017-12-09,uid://A001/X2f6/X41c
ad3a-18829,2023-01-27,uid://A001/X1590/X18a4
J0112+2244,2023-09-07,uid://A001/X1590/X1395
Source_1,2019-09-20,uid://A001/X128e/X370
LEDA_754029,2024-02-01,uid://A001/X2d20/X21d5
J1924-2914,2020-12-31,uid://A001/X133d/X1328
J0103-6439,2021-03-05,uid://A001/X1465/X3365
IRAM04191,2021-01-31,uid://A001/X1467/X264
SSA22-AzTEC40,2016-12-07,uid://A001/X144/Xeb
IRDC_18310-4,2020-02-14,uid://A001/X133d/X1b55
J0103-6439,2024-10-24,uid://A001/X362b/X5af
J1743-3058,2019-03-09,uid://A001/X1284/X1a50
ad3a-19914,2021-05-11,uid://A001/X1469/X178
J2225-1113,2018-12-18,uid://A001/Xbd463f/Xa
ID217,2015-02-28,uid://A002/X5ce05d/X4d
HATLAS_RED_1128,2020-02-05,uid://A001/X133d/X1ec1
J1308-4352,2019-11-09,uid://A001/X133d/X1f80
J1427-4206,2024-01-12,uid://A001/X2d20/X1e60
J0538-4405,2024-12-01,uid://A001/X362b/X257
Per-emb_16,2024-10-04,uid://A001/X2d20/X3081
J0334-4008,2024-10-09,uid://A001/X3621/X4f4
J0748+2400,2024-11-08,uid://A001/X3621/X4079
IRC-30398,2019-09-14,uid://A001/X12a3/X34b
WB89_794,2024-06-20,uid://A001/X335d/X1f9
J1256-0547,2024-10-24,uid://A001/X2d20/X1c0a
J0635-7516,2015-03-12,uid://A002/X5d7935/X3bb
24784,2018-10-05,uid://A001/Xbd463f/X7
J0854+2006,2020-02-21,uid://A001/X133d/X13cb
J2109-4110,2021-06-30,uid://A001/X142c/X269
HATLAS_RED_955,2020-02-07,uid://A001/X133d/X1ebd
J1752-2956,2024-05-12,uid://A001/X3578/X275
Titan,2016-01-12,uid://A001/X12f/X2da
SMG_8,2021-04-15,uid://A001/X1465/Xa5d
J1342-2900,2023-07-08,uid://A001/X1590/Xd69
J1107-4449,2019-11-07,uid://A001/X133d/X1f94
J1733-1304,2015-05-19,uid://A002/X6444ba/Xc5
J0522-3627,2019-06-15,uid://A001/X1289/X543
Neptune,2017-09-08,uid://A001/X2fb/Xd19
J1337-1257,2016-08-19,uid://A002/X6444ba/Xc9
J1058+0133,2021-06-06,uid://A001/X14c3/Xe4
J0006-0623,2018-03-06,uid://A001/X2fb/Xd13
HATLAS_RED_550,2020-01-31,uid://A001/X133d/X1eab
J0423-0120,2019-05-04,uid://A001/X12cf/X6d
BHR87,2019-03-12,uid://A001/X87d/X8a2
J0336+3218,2022-04-30,uid://A001/X1465/X201e
J1256-0547,2024-11-10,uid://A001/X3621/X2515
J1038+0512,2024-11-24,uid://A001/X3622/Xa49
J0205+3212,2017-12-24,uid://A001/X2f6/X3c4
J1717-3342,2020-07-23,uid://A001/X133d/X24bf
J0538-4405,2025-01-25,uid://A001/X2d1f/Xacf
J051002+180041,2013-12-07,uid://A002/X327408/X3d
J0909+013,2015-02-12,uid://A002/X391d0b/X8e
J125610-054722,2015-02-12,uid://A002/X327408/X213
Neptune,2013-10-01,uid://A002/X391d0b/X23d
SPT0459-58,2013-01-26,uid://A002/X314ea1/X237
J0510+180,2014-01-16,uid://A002/X327408/X48
J2323-032,2013-09-18,uid://A002/X3ff4ae/X38
Titan,2013-12-28,uid://A002/X314ea1/X1d4
IRAS 20551-4250,2014-01-16,uid://A002/X303d22/X96
HD21997,2014-03-20,uid://A001/X62/Xb
J1107-448,2014-01-11,uid://A002/X391d0b/X13a
J2323-032,2013-02-14,uid://A001/X74/Xec
Callisto,2013-03-13,uid://A002/X327408/X14a
J1625-254,2014-01-09,uid://A002/X391d0b/X209
Uranus,2018-11-17,uid://A001/X124a/X190
J2040-5735,2017-06-07,uid://A001/X2fa/X25d
3c279,2016-06-24,uid://A002/X36e690/X8
Titan,2013-10-30,uid://A002/X36d874/X8c
J0132-169,2013-06-06,uid://A001/X74/X247
J0423-013,2014-04-11,uid://A002/X303d22/X5e
J0522-364,2013-03-29,uid://A001/X6f/X12
J1229+0203,2018-02-22,uid://A001/X8a9/X5c
J0325+226,2013-11-15,uid://A002/X391d0b/Xed
J0538-440,2014-01-09,uid://A002/X391d0b/X20f
CenA - CO knot S1,2013-02-14,uid://A002/X327408/X25e
Neptune,2014-02-28,uid://A001/X74/X172
J0538-440,2013-06-01,uid://A002/X303d22/X2d
VLA1623,2013-06-15,uid://A002/X391d0b/X161
J0403-360,2013-11-13,uid://A002/X391d0b/X16f
3c279,2016-06-24,uid://A002/X259150/X157
J0510+180,2014-02-27,uid://A001/Xca/X5
J1924-292,2013-07-05,uid://A002/X36d874/X7e
J0132-169,2013-05-10,uid://A002/X303d22/X6d
J1415+133,2013-10-04,uid://A002/X3216af/Xa
SPT_0418-47,2013-04-25,uid://A001/X74/X27f
3C273,2013-10-30,uid://A001/X74/Xe0
Callisto,2014-02-20,uid://A001/Xba/X61
J0530+135,2014-03-08,uid://A002/X36d874/Xf
SPT_0103-45,2013-04-25,uid://A001/X74/X295
J1604-446,2014-02-07,uid://A002/X327408/X130
L1527,2013-11-09,uid://A002/X391d0b/Xeb
3C279,2013-10-30,uid://A002/X36d874/X90
3C279,2013-11-26,uid://A002/X391d0b/X198
J0403-360,2014-03-20,uid://A001/X62/X8
J0129-0035,2013-06-25,uid://A002/X391d0b/X22
J1008+063; B1005+066,2013-11-21,uid://A002/X303d22/X6
J1008+063; B1005+066,2013-06-11,uid://A001/X74/X1e2
Callisto,2013-01-12,uid://A002/X303d22/X9c
3c279,2014-02-08,uid://A001/X74/X132
J0552+0313,2017-11-09,uid://A001/X2de/X22
LESSJ033240.4-273802,2013-02-15,uid://A001/X6f/X35
[PBB2002]UScoJ160823.2-193001,2014-01-09,uid://A001/X74/X186
J0339-017,2013-11-07,uid://A002/X327408/X24a
J0204-170,2013-12-03,uid://A001/Xb6/X2b
SPT0459-58,2013-08-28,uid://A002/X314ea1/X23f
Callisto,2014-03-04,uid://A002/X3216af/X48
3c279,2013-12-10,uid://A002/X314ea1/X1f6
3c279,2016-06-24,uid://A002/X221049/X3f
3C279,2014-02-11,uid://A002/X36d874/X95
HE2-10,2014-01-15,uid://A002/X391d0b/X280
Titan,2013-04-26,uid://A002/X314ea1/X21
Abell 1664,2013-06-04,uid://A002/X327408/X22b
J1924-292,2013-10-30,uid://A002/X391d0b/X175
J0538-440,2014-03-07,uid://A002/X3216af/X4a
SPT2134-50,2013-05-29,uid://A002/X314ea1/X239
HN Tau,2013-12-13,uid://A002/X327408/X39
Boomerang Nebula,2013-01-09,uid://A001/X74/X1a2
J125610-054722,2015-02-12,uid://A002/X327408/X215
SPT_0532-50,2013-04-25,uid://A001/X74/X26b
J1037-295,2013-03-16,uid://A001/X74/X1b
Callisto,2013-12-03,uid://A001/Xb6/X31
SPT_0128-51,2013-04-25,uid://A001/X74/X28f
FV Tau,2013-12-06,uid://A002/X327408/X37
SXDS1_68849,2013-12-03,uid://A001/Xb6/X2f
J0538-440; B0537-441,2013-04-25,uid://A001/X74/X28b
J1924-292,2016-10-15,uid://A001/X74/X45
J1924-292,2013-10-22,uid://A002/X327408/X12b
Titan,2013-10-30,uid://A001/X74/Xe2
sbs0335-052,2013-10-25,uid://A002/X36d874/Xa6
3C279,2013-03-30,uid://A001/X74/X119
J0334-401,2013-11-29,uid://A002/X303d22/Xd
J0423-013,2013-05-10,uid://A002/X303d22/X67
J0334-401,2013-01-26,uid://A002/X314ea1/X235
3c454.3,2014-02-22,uid://A002/X391d0b/Xc2
B0402-362; J0403-360,2013-02-15,uid://A001/X6f/X2c
Ganymede,2013-11-19,uid://A001/X6f/X3e
SgrB2-N,2014-09-12,uid://A002/X327408/X12
J195801.72-074607.3,2013-07-05,uid://A001/X74/X235
Neptune,2014-02-15,uid://A002/X36d874/X3a
OphA-SM1N,2013-11-21,uid://A001/X74/X4
Titan,2014-01-17,uid://A002/X327408/X62
Mars,2013-04-25,uid://A001/X74/X27b
J035448.24-330827.2,2012-12-20,uid://A001/X74/X22d
J1625-254,2013-06-21,uid://A002/X391d0b/X60
PKS1830-211,2013-10-10,uid://A002/X36d874/X80
F2,2013-01-23,uid://A002/X283038/Xc3
SPT_0319-47,2013-04-25,uid://A001/X74/X283
J061200.23-062209.6,2012-12-20,uid://A001/X74/X22f
3C279,2015-02-12,uid://A002/X36d874/Xdf
3c273,2015-02-12,uid://A002/X391d0b/X92
J0607-085,2014-03-04,uid://A001/Xba/X65
J0423-013,2013-05-10,uid://A002/X303d22/X6b
J0418+380,2014-05-10,uid://A002/X391d0b/X151
J1008+063; B1005+066,2013-06-11,uid://A001/X74/X1d2
3c279,2013-12-31,uid://A002/X327408/X2b4
NGC1433,2013-10-02,uid://A002/X36d874/Xd1
Titan,2014-06-25,uid://A002/X314ea1/X1ee
J0237+2848,2016-06-24,uid://A002/X8fa7af/X1e
SPT0125-50,2013-06-26,uid://A002/X314ea1/X23b
J205615-471445,2013-08-24,uid://A002/X391d0b/X126
Red_Rectangle,2013-12-27,uid://A002/X391d0b/X9a
J1625-254,2013-06-22,uid://A001/X6f/X43
SPT_0346-52,2013-04-25,uid://A001/X74/X287
J1038-5311,2014-02-28,uid://A002/X391d0b/X13e
Lup_6,2013-10-19,uid://A002/X327408/X128
Orion H2O maser outburst,2013-12-03,uid://A002/X303d22/X5a
Neptune,2013-11-08,uid://A002/X314ea1/X17
J0423-013,2013-12-11,uid://A002/X391d0b/Xfb
IRAS 16547-4247,2014-03-15,uid://A002/X391d0b/X12e
LESSJ033251.1-273143,2013-02-15,uid://A001/X6f/X2f
AGN5,2013-12-11,uid://A001/Xcc/X5c
Ceres,2014-06-16,uid://A002/X327408/X359
Mars,2013-04-25,uid://A001/X74/X279
J0635-7516,2013-09-25,uid://A002/X391d0b/X10f
LESSJ033243.6-273353,2013-02-15,uid://A001/X6f/X32
B1921-293; J1924-292,2013-04-25,uid://A001/X74/X26f
J1733-130,2013-07-05,uid://A001/X74/X233
J1107-448,2013-05-01,uid://A002/X31e326/X28
J0403-360,2013-10-12,uid://A002/X327408/X4d
J0423-0120,2016-06-24,uid://A002/X91a40d/X4
Titan,2014-02-11,uid://A001/X74/X1c6
3c279,2014-01-18,uid://A002/X314ea1/X1fa
G34.43+00.24 MM3,2013-11-14,uid://A001/X74/X3f
SN1987A,2013-09-10,uid://A002/X303d22/X2f
J2101-295,2013-10-04,uid://A002/X327408/X313
J053056+133220,2014-02-25,uid://A002/X55a0dc/X18
J1924-292,2013-10-10,uid://A002/X391d0b/X113
COS01-1,2013-12-03,uid://A002/X391d0b/X171
J141243.16-202011.1,2013-10-17,uid://A001/X74/X231
OrionKL,2014-02-20,uid://A001/Xba/X5f
J0214-6149 ICRF,2013-09-18,uid://A002/X314ea1/X23d
J1107-448,2013-11-08,uid://A002/X391d0b/X196
J0538-440,2013-12-05,uid://A001/X6f/X40
Neptune,2014-02-21,uid://A001/Xac/X2d
SPT_0512-59,2013-04-25,uid://A001/X74/X269
J1256-057,2013-05-16,uid://A002/X391d0b/X1e
J040353-360513,2013-10-05,uid://A002/X391d0b/X11c
J1700-261,2014-09-12,uid://A002/X327408/X14
SPT_0529-54,2013-04-25,uid://A001/X74/X265
SPT_2146-55,2013-04-25,uid://A001/X74/X277
Callisto,2013-12-05,uid://A001/X74/X245
NGC1614,2013-10-15,uid://A002/X391d0b/X67
J0854+201,2013-05-09,uid://A002/X314ea1/X19
J0522-364,2013-04-24,uid://A002/X303d22/Xb
IRAS 22491-1808,2014-02-05,uid://A002/X303d22/Xa0
IRAS15398-3359,2014-03-02,uid://A001/X74/Xc2
SPT2311-54,2013-09-11,uid://A002/X314ea1/X233
Neptune,2014-01-11,uid://A002/X327408/X12e
3c279,2016-06-24,uid://A002/X1d4c10/X53
3C279,2014-01-04,uid://A002/X327408/X34f
IRAS 05022+2527,2014-01-04,uid://A002/X327408/X3b
J0423-013,2014-03-04,uid://A002/X327408/X45
3c279,2014-03-07,uid://A002/X391d0b/X130
J0522-364,2014-02-27,uid://A002/X391d0b/Xe9
J1408-078,2013-08-02,uid://A002/X391d0b/X181
3c454.3,2014-01-16,uid://A002/X303d22/X98
J1332+0200,2013-06-04,uid://A002/X327408/X22f
J2258-279,2014-02-19,uid://A002/X391d0b/X16b
IIZw096-Extended,2013-10-19,uid://A001/X74/Xb4
J0909+013,2015-02-12,uid://A002/X391d0b/X8c
Mars,2014-01-16,uid://A001/X74/Xc0
SXDS2_22198,2013-12-03,uid://A001/Xb6/X2d
Titan,2015-02-12,uid://A002/X327408/X217
SPT_2147-50,2013-04-25,uid://A001/X74/X273
arp230,2013-03-16,uid://A001/X74/X19
3C273,2013-10-30,uid://A001/X74/Xe6
J0455-462,2013-11-13,uid://A002/X36d874/Xd3
J2225-049,2014-05-06,uid://A002/X36d874/X26
Abell 1835,2013-06-04,uid://A002/X327408/X22d
J2333-237,2013-06-19,uid://A001/X74/X176
SPT_0457-49,2013-04-25,uid://A001/X74/X27d
3c279,2013-10-11,uid://A002/X391d0b/X20d
J054047-541822,2013-04-25,uid://A001/X74/X267
SDSSJ1356+1026,2014-01-16,uid://A002/X3216af/Xc
MWC 480,2014-02-27,uid://A002/X303d22/X3c
Titan,2013-11-07,uid://A002/X327408/X24e
SPT2132-58,2013-09-13,uid://A002/X314ea1/X231
B2227-088; J2229-085,2012-12-06,uid://A001/X62/X2a
J1008+063; B1005+066,2013-06-11,uid://A001/X74/X1e0
Callisto,2013-12-07,uid://A002/X303d22/X8a
J053851-440507,2013-10-13,uid://A002/X391d0b/X120
J0510+180,2014-08-12,uid://A002/X391d0b/Xb7
J2310+1855,2013-08-02,uid://A002/X391d0b/X26
OrionField3,2014-01-03,uid://A002/X327408/X205
B1730-130,2014-09-12,uid://A002/X327408/X10
J0538-440,2014-02-26,uid://A002/X36d874/X13
3c454.3 - p 1,2014-03-12,uid://A001/X62/X1b
J165809+074125,2013-09-06,uid://A002/X327408/X276
SPT_2147-50,2013-04-25,uid://A001/X74/X271
B1600-445; J1604-446,2014-03-01,uid://A001/X6f/X4
J0538-440,2013-11-29,uid://A002/X391d0b/X246
SPT_0243-49,2013-04-25,uid://A001/X74/X289
J0137-245_B6,2013-02-14,uid://A001/X6f/Xe
SPT_0125-47,2013-04-25,uid://A001/X74/X293
J0909+013,2015-02-12,uid://A002/X391d0b/X90
Neptune,2013-10-19,uid://A002/X36d874/X7c
3c279,2016-06-24,uid://A002/X1fd4e7/X650
Titan,2013-09-07,uid://A001/X74/X23c
J2258-279,2014-02-05,uid://A002/X303d22/X9e
SPT_0532-50,2013-07-03,uid://A001/X74/X26d
J0854+201,2013-05-09,uid://A002/X314ea1/X1b
3c279,3000-01-01,uid://A002/X3cd6b2/X59
J0339-017,2013-10-19,uid://A002/X391d0b/Xfd
J0637-752,2014-02-07,uid://A002/X303d22/X33
IRAS15398-3359,2014-08-19,uid://A001/X74/Xbe
ARP220,2013-12-17,uid://A002/X327408/X279
3C279,2013-10-30,uid://A002/X36d874/X88
J0909+013,2015-02-12,uid://A002/X391d0b/X8a
J0538-440; B0537-441,2013-10-19,uid://A001/X74/X130
Orion H2O maser outburst,2014-01-25,uid://A002/X303d22/X4e
3c279,2016-06-24,uid://A002/X1fd4e7/X652
vv114,2013-05-15,uid://A001/X74/X249
