    um                erg/s/Hz  
    2.810606e-05      9.074584e-23
    2.826181e-05      9.125278e-23
    2.841842e-05      9.176257e-23
    2.857591e-05      9.227521e-23
    2.873426e-05      9.279072e-23
    2.889349e-05      9.330911e-23
    2.905360e-05      9.383041e-23
    2.921460e-05      9.435462e-23
    2.937650e-05      9.488177e-23
    2.953929e-05      9.541187e-23
    2.970298e-05      9.594494e-23
    2.986758e-05      9.648099e-23
    3.003309e-05      9.702004e-23
    3.019952e-05      9.756211e-23
    3.036687e-05      9.810722e-23
    3.053515e-05      9.865538e-23
    3.070436e-05      9.920660e-23
    3.087450e-05      9.976091e-23
    3.104560e-05      1.003183e-22
    3.121764e-05      1.008789e-22
    3.139063e-05      1.014425e-22
    3.156458e-05      1.020094e-22
    3.173949e-05      1.025794e-22
    3.191538e-05      1.031526e-22
    3.209224e-05      1.037290e-22
    3.227008e-05      1.043086e-22
    3.244890e-05      1.048915e-22
    3.262872e-05      1.054776e-22
    3.280953e-05      1.060671e-22
    3.299134e-05      1.066598e-22
    3.317416e-05      1.072558e-22
    3.335800e-05      1.078552e-22
    3.354285e-05      1.084580e-22
    3.372873e-05      1.090641e-22
    3.391564e-05      1.096736e-22
    3.410358e-05      1.102865e-22
    3.429257e-05      1.109028e-22
    3.448260e-05      1.115227e-22
    3.467369e-05      1.121459e-22
    3.486583e-05      1.127727e-22
    3.505904e-05      1.134030e-22
    3.525332e-05      1.140368e-22
    3.544867e-05      1.146741e-22
    3.564511e-05      1.153151e-22
    3.584264e-05      1.159596e-22
    3.604126e-05      1.166077e-22
    3.624099e-05      1.172595e-22
    3.644182e-05      1.179149e-22
    3.664376e-05      1.185739e-22
    3.684682e-05      1.192367e-22
    3.705101e-05      1.199032e-22
    3.725632e-05      1.205734e-22
    3.746278e-05      1.212474e-22
    3.767038e-05      1.219251e-22
    3.787913e-05      1.226067e-22
    3.808904e-05      1.232920e-22
    3.830011e-05      1.239812e-22
    3.851235e-05      1.246743e-22
    3.872576e-05      1.253712e-22
    3.894036e-05      1.260721e-22
    3.915615e-05      1.267768e-22
    3.937314e-05      1.274855e-22
    3.959132e-05      1.281982e-22
    3.981072e-05      1.289149e-22
    4.003133e-05      1.296356e-22
    4.025316e-05      1.303603e-22
    4.047622e-05      1.310891e-22
    4.070052e-05      1.318220e-22
    4.092607e-05      1.325590e-22
    4.115286e-05      1.333001e-22
    4.138091e-05      1.340454e-22
    4.161022e-05      1.347948e-22
    4.184080e-05      1.355484e-22
    4.207266e-05      1.363063e-22
    4.230581e-05      1.370684e-22
    4.254025e-05      1.378348e-22
    4.277598e-05      1.386054e-22
    4.301303e-05      1.393804e-22
    4.325138e-05      1.401597e-22
    4.349106e-05      1.409434e-22
